Politician,Top 10 Unique N-grams
pavel-fischer,prezident republiky (7); bezpečnostní výbor (6); mezinárodní investiční (6); ruské federace (6); deseti milionů (5); milionů občanů (5); obranu bezpečnost (5); zahraniční věci (5); deseti milionů občanů (5); výbor senátu (4); národní bezpečnost (4); bezpečnost deseti (4); prozatímního prezidenta (4); občanů čr (4); pavel fischer (4); ministr kultury (4); bezpečnost deseti milionů (4); bezpečnost deseti milionů občanů (4); všech občanů (3); vláda čr (3); ústavní povinnost (3); senát právě (3); milou zprávu (3); zprávu podporu (3); podporu pf (3); společnosti home (3); home credit (3); slyšení národní (3); bezpečnost obchod (3); obchod čínou (3)
pavel-poc,evropskou komisí (4); kvalita potravin (4); děkuji podporu (4); bezpečnosti potravin (4); dvojí kvalita (4); lídr kandidátky (4); životním prostředí (4); dvojí metr (3); potravinovém právu (3); férovou evropu (3); bezpečnost potravin (3); proti rakovině (3); zpráva výboru (3); světový den (3); potravinového práva (3); dvojí kvalitě (3); kvalitě potravin (3); voleb evropského (3); budu moct (3); voleb evropského parlamentu (3); snížit emise (2); děkuji pozvání (2); přijďte dnes (2); máte chuť (2); via cc (2); obecném potravinovém (2); čr eu (2); ústí labem (2); témata čekají (2); špatná musí (2)
petr-fiala,mezi 10 nejlepších (9); vládě eet zrušíme (8); předložíme konkrétní návrhy (8); svých osobních problémů (7); 5 programových priorit (7); obranu 2 hdp (7); peníze zůstaly lidem (7); ods krajských voleb (7); počet státních zaměstnanců (7); zájmy naší země (7); 10 nejlepších zemí (7); nejlepších zemí světě (7); nejlepší země světě (7); mezi 10 nejlepších zemí (7); mezi nejlepší země světě (7); česká republika potřebuje (6); nejvyšší kontrolní úřad (6); přál bych abychom (6); lídrem ods krajských (6); hlas zdravého rozumu (6); naše země potřebuje (6); mezi nejlepší světě (6); superhrubé mzdy díky (6); obsahovat přehlednou tabulku (6); budeme vládě eet (6); volbám volte ods (6); lídrem ods krajských voleb (6); zrušení superhrubé mzdy díky (6); 10 nejlepších zemí světě (6); budeme vládě eet zrušíme (6)
petr-gazdik,platů politiků (5); vše dobré (3); snížení platů (3); posledních 6 (3); den učitelů (3); seznam zprávy (3); smutný příběh (3); bratře kristu (3); snížení platů politiků (3); schválen program (2); této vlády (2); kolega ferjenčík (2); petr gazdík (2); radní školství (2); zlínském kraji (2); pán bůh (2); nový iphone (2); vlastní návrh (2); ta péče (2); výrazné zlepšení (2); školství zlínského (2); česku chybí (2); podle vkusu (2); vkusu každého (2); každého soudruha (2); kontroverzní projekt (2); příčinou zaznamenaného (2); zaznamenaného plošného (2); plošného vzestupu (2); vzestupu důvěry (2)
petr-hlubucek,hlavního města (9); centru prahy (8); zavedení mýta (7); proti suchu (7); vysokoemisní vozidla (7); města prahy (7); vzduchu praze (6); hlavního města prahy (6); městské části (5); plavební komory (5); vjet centra (4); ničit zdraví (4); jednání rady (4); smetanova nábřeží (4); jednání zastupitelstva (4); náměstek primátora (4); dnes praze (4); centrum prahy (4); emisí co2 (4); nových stromů (4); ulicích prahy (3); rada schválila (3); praze druhý (3); druhý nejhorší (3); nejhorší republice (3); nezakazuje nikomu (3); nikomu vjet (3); centra města (3); kouřící auta (3); neustále ničit (3)
radek-vondracek,světové války (9); výročí sametové (9); sametové revoluce (9); mě čeká (9); budu hostem (9); karla got (9); got ta (9); můžete přečíst (9); přijal pozvání (9); předsedů parlamentů zemí (9); zemí v4 (8); předsedou dolní (8); dolní komory (8); spolkového sněmu (8); summitu předsedů (8); severní makedonie (8); wolfgang sobotka (8); hlavním městě (8); oficiální návštěva (8); zahraničních věcí (8); vesnice roku (8); střední evropě (8); zlínském kraji (8); uctil památku (8); českých firem (7); celý projev (7); projev můžete (7); diskutovali také (7); vzájemných vztahů (7); zahraniční politice (7)
radim-fiala,abychom dopadli (65); dopadli stejně (65); abychom dopadli stejně (65); hnutí spd (622); masovou imigraci (62); prosím hnutí (61); prosím hnutí spd (61); nelegální imigranti (59); babišova vláda (57); západní evropa (56); naši vlast (56); myslíte vy (54); našich hranic (52); volte prosím (51); stejně islamizovaná (50); islamizovaná západní (49); spd podporuje (49); islamizovaná západní evropa (49); stejně islamizovaná západní (48); stejně islamizovaná západní evropa (48); volbách evropského (47); vyjít ulici (46); dopadli stejně islamizovaná (46); abychom dopadli stejně islamizovaná (46); dopadli stejně islamizovaná západní (45); abychom dopadli stejně islamizovaná západní (45); dopadli stejně islamizovaná západní evropa (45); odmítáme masovou (44); odmítáme masovou imigraci (44); české občany (43)
sarka-jelinkova,zdravotní péči (8); domácí péči (8); vychované dítě (7); marek výborný (7); 4 let (7); kolegové poslanci (7); domácí zdravotní péči (7); každé vychované (6); charita česká (6); senátorského klubu (6); každé vychované dítě (6); charita česká republika (6); ministryně práce (5); více dětmi (5); střední třída (5); daňové bonusy (5); nižší důchody (5); 500 korun (5); záchranu domácí (5); tomáš baťa (5); baťa pohledem (5); pohledem studentů (5); bystřice hostýnem (5); milé pozornosti (5); financování sociálních (5); kdu čsl (5); ministryně práce sociálních (5); tomáš baťa pohledem (5); baťa pohledem studentů (5); tomáš baťa pohledem studentů (5)
stanislav-blaha,let revoluci (7); slavnosti vína (7); 30 let revoluci (7); novoroční předsevzetí (5); dobré zprávy (5); více videu (5); bych přál (5); zase jednou (5); jinými slovy (5); jedno malé (5); celý svět (4); palce ať (4); musím říct (4); poslední době (4); slováckého divadla (4); přitom stačilo (4); lidé měli (4); našem regionu (4); letní filmová (4); filmová škola (4); škola uherské (4); uherského hradiště (4); výběr mýta (4); 1x tady (4); ministr dopravy (4); 5 měsíců (4); držte palce ať (4); letní filmová škola (4); filmová škola uherské (4); škola uherské hradiště (4)
tomas-golan,forum karlín (9); nejvyššího státního (9); schůze senátu (9); pavel zeman (9); pavla zemana (8); koncert paměť (8); daňových poradců (8); manželka jana (8); koncert paměť národa (8); rozhodnutí ústavního (7); trestního stíhání (7); trestní stíhání (7); krajští zastupitelé (7); finanční ředitelství (7); senátu parlamentu (7); senátní tisk (7); rozhodnutí ústavního soudu (7); senátu parlamentu čr (7); tomáš goláň (6); čro plus (6); této věci (6); zákona státních (6); státních zástupcích (6); alena schillerová (6); uherském hradišti (6); nejvyššího správního (6); jana skončila (6); výběru daní (6); třeba uvědomit (6); czech republic (6)
tomas-macura,pane primátore (8); veřejného prostoru (7); nové radnice (6); masarykovo náměstí (4); města ostravy (4); našeho města (4); vážený pane (4); integrovaná povolení (4); centru města (4); masarykově náměstí (4); reklamní smog (4); tři roky (4); projektu sametova (3); koksovně svoboda (3); nadlimitní čištění (3); již dříve (3); řeky ostravice (3); miloše sýkory (3); městský ateliér (3); fakultní nemocnici (3); roční koncentrace (3); veřejný prostor (3); černá kostka (3); útlum těžby (3); svůj střet (3); masarykova náměstí (3); fajnovy prostor (3); 17 hodin (3); pracovních míst (3); paní náměstkyně (3)
tomas-martinek,tomáš martínek (7); českého rozhlasu (7); let starý (62); pět let starý (61); tajné volbě (6); starý příspěvek (59); let starý příspěvek (59); pět let starý příspěvek (58); reagujete pět (57); reagujete pět let (57); reagujete pět let starý (57); reagujete pět let starý příspěvek (54); české lípě (5); nabytí nemovitých (5); nemovitých věcí (5); ano spd (5); michal semín (5); so orp (5); volební systém (5); tomio okamura (5); radě čtk (5); nabytí nemovitých věcí (5); víte reagujete (41); víte reagujete pět (40); víte reagujete pět let (40); víte reagujete pět let starý (40); přesný opak (4); mediálního prostoru (4); parlamentní listy (4); jeden konkrétní (4)
tomas-prouza,svazu obchodu (9); kvalita potravin (8); dvojí kvality (8); kvalitu potravin (8); velmi dobře (8); ministerstvo zemědělství (8); obchodu cestovního (8); dvojí kvalitu potravin (8); obchodu cestovního ruchu (8); český trh (7); dál víc (7); dvojí kvalitě (7); nejvyšší čas (7); portfolio věry (7); ministr zemědělství (7); naprostá většina (7); evropské komisi (7); dvojí kvalita potravin (7); portfolio věry jourové (7); svazu obchodu cestovního (7); svazu obchodu cestovního ruchu (7); členské státy (6); český premiér (6); klimatické změny (6); zajímavý rozhovor (6); zákona významné (6); významné tržní (6); tržní síle (6); průmyslu obchodu (6); obchodní řetězce (6)
tomas-zdechovsky,vše nejlepší (6); tomáš zdechovský (6); europoslanec tomáš (5); europoslanec tomáš zdechovský (5); ruská propaganda (4); nevím zda (4); střetu zájmu (3); zájmů českého (3); českého premiéra (3); jiří čunek (3); trochu jinak (3); pane zdechovský (3); zájmů českého premiéra (3); myslím dobře (2); článek 8 (2); 2x ročně (2); podle soudu (2); 10 000 (2); dobře víte (2); řada lidí (2); my tykame (2); přeju ať (2); katolické církve (2); sovětský svaz (2); pravý čas (2); přeji vše (2); zemich eu (2); úplně jinak (2); roger scruton (2); de facto (2)
tomio-okamura,podpořte prosím (99); eu nereformovatelná (98); pozitivní diskriminaci (98); česká televize (98); volbám evropského (98); volbám evropského parlamentu (98); spd podporuje (97); islámské ideologie (97); svobody suverenity (97); politických neziskových (96); politických neziskových organizací (96); islamizaci evropy (95); vláda hnutí ano čssd ksčm (95); současná eu (94); národních státech (94); evropské vlastenecké frakce (93); základě svobody suverenity (92); současnou evropskou unii (89); evropa národů svobody (88); islamizovaná západní evropa (88); stejně islamizovaná západní (87); stejně islamizovaná západní evropa (87); suverenitu české republiky (86); současná eu nereformovatelná (86); eu evropském parlamentu (85); jediné místo můžeme (83); občanů národních států (83); dopadli stejně islamizovaná (83); abychom dopadli stejně islamizovaná (83); stávající forma evropské (82)
vaclav-klaus,hezký večer (7); zuzana majerová (7); svoboda slova (7); hnutí trikolóra (6); majerová zahradníková (6); hezkou neděli (6); zuzana majerová zahradníková (6); normální svět (5); beseda občany (5); včera večer (5); nové strany (5); ustavující sněm (5); komunální volby (5); místní organizace (5); dobrou noc (5); pátek večer (5); milí lidé (5); svobodu slova (5); svobody slova (5); svobodě slova (4); přišel čas (4); veřejného mínění (4); bohatství vzniká (4); vzniká práce (4); činorodé lidi (4); více videu (4); sněm trikolóra (4); krátký sestřih (4); jezdíme okresem (4); opakované komunální (4)
vaclav-laska,předsedy senátu (9); text žaloby (7); ústavní žaloby (7); prezidenta hrubé (7); práva držet (7); prezidenta hrubé porušení (7); práva držet zbraň (7); prezidenta hrubé porušení ústavy (7); žaloby prezidenta (6); trestním oznámením (6); kolegy senátory (6); klubu senátor (6); senátor 21 (6); tomáš goláň (6); kávu láskou (6); klubu senátor 21 (6); no teď (5); porušování ústavy (5); připraven nést (5); nést odpovědnost (5); trestního oznámení (5); požádám kolegy (5); václav láska (5); mě baví (5); pléna senátu (5); rok půl (5); my politici (5); připraven nést odpovědnost (5); české politiky (4); sociální sítě (4)
vit-rakusan,proti suchu (9); milion chvilek (8); chvilek demokracii (8); petr gazdík (7); věra kovářová (7); celý rozhovor (7); vážený pane (7); kauze čapí (7); milion chvilek demokracii (7); středočeského kraje (6); neziskový sektor (6); všem lidem (6); pavel čížek (5); cesta krajinu (5); kovářová železná (5); mnoho lidí (5); kutné hoře (5); celý život (5); václava moravce (5); otevřený dopis (5); mikuláš bek (5); rozum hrsti (5); státního zastupitelství (5); ano ksčm (5); prezident republiky (5); věra kovářová železná (5); david smoljak (4); projekt 1000 (4); 1000 1 (4); 1 cesta (4)
vladimir-kremlik,českých budějovic (9); modernizace trati (9); zvýší bezpečnost (9); celkové délce (9); dopravní omezení (9); českých dálnicích (9); roku 2022 (9); nový systém (9); zahájili stavbu (9); ministra dopravy (9); poslední chvíli (9); výběru mýta (9); zdravotním postižením (9); mém facebookovém (8); facebookovém profilu (8); ode dneška (8); železniční stanice (8); dlouhý úsek (8); měst obcí (8); mém facebookovém profilu (8); kdyby cokoliv dopravy (8); cokoliv dopravy zajímalo (8); dopravy zajímalo neváhejte (8); zajímalo neváhejte napsat (8); státního fondu dopravní (8); fondu dopravní infrastruktury (8); vodních cest české (8); cest české republiky (8); kdyby cokoliv dopravy zajímalo (8); cokoliv dopravy zajímalo neváhejte (8)
zdenek-hrib,dobrou práci (9); městských částí (9); městských bytů (9); trojské lávky (9); milionů kč (8); centrum prahy (8); jelení příkop (8); petr hlubuček (8); vyhlášky buskingu (8); praha 1 (8); tohoto roku (8); veřejného prostoru (8); náměstek dopravu (8); pivní kola (8); bydlení adam (8); radní bydlení (8); staroměstském náměstí (8); vít šimral (8); metro d (8); bydlení adam zábranský (8); více info (7); říká radní (7); institut plánování (7); plánování rozvoje (7); rozvoje prahy (7); prahy ipr (7); mrzí mě (7); umělé inteligence (7); dopravní náměstek (7); náměstek dopravu adam (7)
zuzana-majerova-zahradnikova,prvé řadě (9); přeji krásný (9); příznivci trikolóra (9); sněmovna parlamentu české (9); vodní pólo (8); musím říct (8); neposlední řadě (8); sk up (7); up olomouc (7); olomouc vodní (7); svoboda slova (7); olomoucký kraj (7); závěrečná beseda (7); registrovaných příznivců (7); příznivců trikolóra (7); přišli popovídat (7); skvělou organizaci (7); sk up olomouc (7); up olomouc vodní (7); olomouc vodní pólo (7); sk up olomouc vodní (7); up olomouc vodní pólo (7); sk up olomouc vodní pólo (7); olomouc hc (6); místních organizací (6); našem olomouckém (6); dalibor horák (6); original play (6); poslanecká kancelář (6); kancelář zuzany (6)
