Entity,Community
Bohuslava,0
Lucie Šafránková,2
Google,2
ministerstvo průmyslu a obchodu,0
Nos,4
Teplice,4
Vláda,2
Facebook,2
Řím,1
Klára Dostálová,3
Spojené státy,1
Ursula,1
Lány,3
Johnson,1
Prima,0
FB,2
Youtube,2
Koněv,4
Anglie,1
Otázky Václava Moravce,2
Biden,1
Bělorusku,1
Bratislava,1
Sovětský svaz,1
Boris Johnson,1
Karlem,3
2024,1
SSSR,1
Varšavská smlouva,1
1918,1
Monika,2
Pfizer,1
Boris,1
EPP,1
Události komentáře,0
Soukup,0
Partie,0
1945,1
Lidice,2
Janu,2
Michálek,2
KDU,2
Rada ČT,2
TV Nova,0
Staněk,3
Faltýnek,2
Němcová,2
ABabi,3
Gott,3
Karel Gott,3
Baťa,4
Kanada,1
Pardubice,4
Palach,4
Jan Palach,4
listopad,1
PARDUBICE,4
Přerov,4
Kolín,4
D 1,4
Vondráček,2
Dnešní aktuality,0
Jaromíra,0
Jaromír Soukup,0
,0
T,1
OVTV,1
11,1
Ondráček,2
1969,4
Čaputová,1
89,1
KSČ,1
1948,1
Kroměříž,4
Cheb,1
Jihočeský kraj,4
Na rovinu,2
Zuzana,1
