Entity,Community
Evropský parlament,22
Ochrana klimatu ČR,6
Lesy ČR,6
Agrární komora ČR,8
Senát PČR,6
Akademie věd,8
Akademie věd ČR,8
Světová zdravotnická organizace,8
Strakova akademie,8
Základ tauhíd,2
Osmanská říše,15
Diallo,2
Blok proti islámu,22
Alrawi,2
Vyskočit,2
NSS,5
Sáňka,2
Čapí hnízdo,5
COVID,8
COVID bus,8
Covidová mafie,8
COVID nájemné,8
Covid kultura,8
Covid nepokryté náklady,8
COVID-19,8
HIV,1
COVID gastro,8
KHS,1
Antivirus,8
Pětadvacítka,8
ČMZRB,8
Věc veřejná,13
Výboru pro sociální politiku,12
Ministerstvo financí,13
Ministerstvo zdravotnictví,13
Úřad pro zastupování státu ve věcech majetkových,5
Hospodářský výbor,22
Alternativy pro Německo,12
Ministerstvo práce a sociálních věcí,13
Strana pro svobodu,12
Milion chvilek pro demokracii,12
Státní ústav pro kontrolu léčiv,5
Organizace pro pomoc uprchlíkům,12
Ministerstvo pro místní rozvoj,12
Ministerstvo obrany,13
Ministerstvo životního prostředí,13
ministerstvo průmyslu a obchodu,13
MPSV,13
Ministerstvo zemědělství,13
Ministerstvo vnitra,13
Ministerstvo zahraničí,13
Blatný,13
SÚKL,1
Svaz průmyslu a dopravy,13
FÚ,8
Cizinec ve vlastní zemi,5
Svobodné rádio,16
Wilderse,16
Hofer,16
FPÖ,16
Rassemblement national,16
MENF,16
ENF,16
Salvini,16
Matteo,16
NATO,0
Erdogan,0
Doležal,3
Vácha,3
Hampl,3
Hřebejk,2
Halík,13
Bojko,7
Bek,7
Kovář,7
Bobošíková,10
ČMKOS,8
Růžička,3
Zaorálek,13
Petříček,13
Šmarda,13
Hamáček,13
Šlachta,13
Sobotka,11
Šabatový,13
Toman,8
RVVI,8
PSP,6
Hospodářská komora,8
Bezpečnostní rada státu,22
Rada Ecofin,22
Rada,22
Rada EU,22
Rada Evropy,22
Evropská rada,22
Ústřední krizový štáb,22
CzechInvest,8
Czechtrade,8
ČVUT,8
MŠMT,8
OECD,22
IROP,8
MSP,8
Českomoravská záruční a rozvojová banka,8
EGAP,8
MPO,8
Ecofin,22
Poslanecká sněmovna,6
ÚPV,6
Sněmovna,6
Corbyn,16
May,16
Brexit,16
Johnsonovi,16
Mayová,16
Thatcherová,15
Lenin,15
Farage,16
UK,16
Michel,22
Churchill,15
Reagan,15
Vězeňská služba ČR,6
Kula,9
Evropská centrální banka,22
MMR,8
SFPI,8
Asociace hotelů a restaurací ČR,8
Medián,22
Eurozóna,22
Rusnok,7
Jedlička,22
Brabec,13
FB,18
TWITTER,18
ODS,11
Top,11
TOP 09,11
09,11
VKML,15
Top09,11
DemoBlok,11
Topce,11
Pirát,11
STAN,7
Feri,11
Jágr,2
Ondráček,7
Ovčáček,2
Švejk,2
Filip,7
