Source;Target;Weight
SPD;Nova;12
SPD;Herman;34
SPD;Plzně;11
SPD;STEM;44
SPD;Metnar;18
SPD;DVTV;22
SPD;Zelenskyj;9
SPD;Paříže;26
SPD;IZS;14
SPD;Masarykova univerzita;6
SPD;Palacký;36
SPD;Štrasburku;17
SPD;Hlubuček;15
SPD;Legum;54
SPD;Bakalův;45
SPD;Jandejsek;55
SPD;České Budějovice;15
SPD;ČRo;23
SPD;Národní shromáždění;50
SPD;Jihlava;32
SPD;Bašta;35
SPD;Černochová;33
SPD;Charanzová;29
SPD;Obama;15
SPD;Poche;37
SPD;Aktuální;22
SPD;Rada Evropy;11
SPD;Český statistický úřad;34
SPD;Echo24;28
SPD;Holík;51
SPD;Opava;44
SPD;Kobza;46
SPD;Deník;19
SPD;Starostové a nezávislí;23
SPD;Chomutov;44
SPD;Prahou;6
SPD;Šumperk;44
SPD;Brichta;51
SPD;Sokol;18
SPD;Deník N;14
SPD;Konzervativní strana;33
SPD;Interview;7
SPD;VZP;11
SPD;Kyjevě;9
SPD;Ministerstvo práce a sociálních věcí;30
SPD;Událost;14
SPD;Kyjeva;6
SPD;ANTIFA;17
SPD;Zahradil;9
SPD;Berlín;28
SPD;Jihlavy;32
SPD;PS PČR;36
SPD;Black Lives Matter;23
SPD;Dlabajová;28
SPD;Akademie věd;23
SPD;Topolánek;13
SPD;Nejvyšší správní soud;14
SPD;Pelikán;29
SPD;Soudní dvůr;29
SPD;Kladno;7
SPD;Severoatlantická aliance;10
SPD;168 hodina;38
SPD;Horák;31
SPD;Hospodářská novina;31
SPD;Bratislavě;7
SPD;Kupka;14
SPD;Ježek;40
SPD;Beran;19
SPD;Ondráček;7
SPD;Frýdku Místku;7
SPD;Litoměřice;15
SPD;Ministerstvo pro místní rozvoj;12
SPD;Lidice;9
SPD;Šlachta;29
SPD;CDU;16
SPD;Arenberger;16
SPD;Fischer;14
SPD;Správa státních hmotných rezerv;12
SPD;Organizace pro pomoc uprchlíkům;40
SPD;Vrbětice;9
SPD;Pavel;7
SPD;Chovanec;28
SPD;Mnichově;19
SPD;Hahnova;47
SPD;Drahoš;16
SPD;Nečas;12
SPD;Fidesz;30
SPD;Johansson;24
SPD;MŠMT;7
SPD;Twitter;7
SPD;Lukavce;41
SPD;Gatestone Institute;26
SPD;Litoměřicích;6
SPD;Most;7
SPD;Hnutí ANO;9
SPD;Reportér ČT;34
SPD;Niedermayer;22
SPD;TV CNN Prima;16
SPD;Nice;21
SPD;Akademie věd ČR;6
SPD;Pirát;23
SPD;Kladně;13
SPD;Dopita;45
SPD;Opavy;33
SPD;Teplice;28
SPD;Teličko;28
SPD;Kurz;8
SPD;Kladna;12
SPD;Rassemblement national;42
SPD;HENNER;43
SPD;Paul;43
SPD;Schmeidler;43
SPD;Euro;16
SPD;B;9
SPD;Paroubek;9
SPD;Atkinson;41
SPD;Příbram;29
SPD;Agrární komora;19
SPD;Ochrana klimatu ČR;38
SPD;Staňka;6
SPD;Blansko;30
SPD;Adam;19
SPD;Teplicích;7
SPD;Sudetoněmecký landsmanšaft;27
SPD;Hyťhová;41
SPD;Trutnov;30
SPD;Gottwald;7
SPD;Pobaltí;13
SPD;Pekar;19
SPD;Jakl;34
SPD;FPÖ;34
SPD;Frekvence 1;8
SPD;ISIS;15
SPD;Prostějově;9
SPD;Prostějova;32
SPD;Pirátská strana;11
SPD;Ano čssd;37
SPD;Bárta;19
SPD;SS;11
SPD;Zlína;11
SPD;Valachová;21
SPD;SÚKL;17
SPD;Havířově;18
SPD;Hannan;28
SPD;Bílý dům;7
SPD;Pokorný;22
SPD;Reuters;20
SPD;Churchill;6
EU;Babiš;1051
EU;RT;110
EU;Okamura;492
EU;Sněmovna;795
EU;Ano;759
EU;ČSSD;787
EU;ODS;545
EU;Brusel;1213
EU;Poslanecká sněmovna;553
EU;Fiala;427
EU;Praze;271
EU;TOP 09;441
EU;Zeman;231
EU;KDU ČSL;468
EU;Evropská komise;782
EU;KSČM;411
EU;Senát;163
EU;Svoboda a přímá demokracie;602
EU;Praha;144
EU;Piráti;346
EU;NATO;474
EU;STAN;306
EU;Sobotka;329
EU;Parlament;407
EU;Hamáček;260
EU;COVID-19;74
EU;ČT;120
EU;Kalousek;139
EU;Česká televize;197
EU;Evropský parlament;451
EU;Brno;59
EU;Prahy;150
EU;Putin;100
EU;Le Pen;334
EU;Salvini;317
EU;ČT 24;51
EU;Merkelová;270
EU;Tv Barrandov;37
EU;Orbán;204
EU;V 4;181
EU;Schillerová;64
EU;Pražský hrad;16
EU;Trump;96
EU;Brně;28
EU;Spolu;85
EU;OSVČ;19
EU;OSN;137
EU;Evropská rada;138
EU;Hrad;25
EU;Agrofert;67
EU;EET;26
EU;Havlíček;65
EU;Bělobrádek;75
EU;Dukovany;85
EU;MPO;18
EU;Ostravě;27
EU;Ústavní soud;39
EU;Havel;41
EU;Maláčová;44
EU;Ministerstvo zdravotnictví;38
EU;Ministerstvo financí;41
EU;ČEZ;75
EU;Vojtěch;56
EU;David;166
EU;Klaus;94
EU;EP;75
EU;COVID;17
EU;Bartoš;88
EU;Český rozhlas;55
EU;Blatný;39
EU;Parlamentní listy;148
EU;CO2;146
EU;Unie;178
EU;Nejvyšší kontrolní úřad;66
EU;Lánech;17
EU;Soros;108
EU;PS;9
EU;Macron;129
EU;Hnutí Svoboda a přímá demokracie;81
EU;Hitler;53
EU;Svoboda;98
EU;Ostrava;19
EU;Komise;117
EU;NKÚ;48
EU;Wilderse;140
EU;ČNB;28
EU;Masaryk;26
EU;Juncker;144
EU;Islámský stát;84
EU;Rakušan;50
EU;Ministerstvo dopravy;15
EU;Plzni;16
EU;Prima;16
EU;Prymula;29
EU;Úřad vlády;27
EU;Schwarzenberg;38
EU;OKD;28
EU;Brna;20
EU;Youtube;31
EU;Von der Leyen;113
EU;Foldyna;49
EU;TV Prima;16
EU;Na rovinu;13
EU;Jourová;104
EU;Petříček;52
EU;ČTK;64
EU;Moravec;33
EU;Události komentáře;8
EU;Právo;22
EU;MF;9
EU;Ústí nad Labem;16
EU;BIS;18
EU;Šafránková;37
EU;Trikolóra;65
EU;Hnutí SPD;52
EU;IDnes;44
EU;Berlíně;52
EU;FB;18
EU;Partie;13
EU;Čapí hnízdo;27
EU;Olomouci;13
EU;Volný;21
EU;Soukup;7
EU;Jurečka;23
EU;Svobodný;118
EU;19;27
EU;ANO ČSSD;61
EU;Pekarová;23
EU;Dvořák;23
EU;ENF;117
EU;OECD;30
EU;Erdogan;81
EU;Berlína;74
EU;Adamová;27
EU;Novinka;36
EU;Beneš;21
EU;Hřib;30
EU;Vystrčil;17
EU;Rada;46
EU;Evropa národů a svoboda;105
EU;Plzeň;22
EU;Ředitelství silnic a dálnic;10
EU;Gazdík;33
EU;Bakala;21
EU;Olomouc;9
EU;Green Deal;80
EU;KSČ;10
EU;Kreml;21
EU;Otázky Václava Moravce;20
EU;Respekt;19
EU;Gott;6
EU;Polčák;39
EU;Blesk;13
EU;Rada ČT;15
EU;Feri;45
