;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Toman;Hřib;Juncker;Kreml;Dostálová;Benešová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Wilderse;Nováková;Sobotka;Zahradil;Michálek;Šmarda;Koněv;Bartoš;Erdogan;Hitler;Pellegrini;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Klaus ml;Čunek;Blaško;Mynář;Kramář;Zaorálek;Jaklo;Novotný;Mayová;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Pospíšil;Smoljak;Metnar;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Bakala;Foldyna;Opat;Doležal;Horák;Němec;Jágr;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Hlubuček;Cook;Kovanda;Kobza;M;Koudelka;Heydrich;Morawieckiego;Středula;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;B;Bárta;Výborný;Mátl;Bettel;Rozner;Farage;Baxa;Gottem;Benda;Pavel;P;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Adamowicz;Trestík;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Bělobrádek;Poche;Ovčáček;Nečas;Gregorová;Szijjártó;Opletal;Bartha;Hilšer;Sáblíková;Jelínek;Zažímalová;Arajma;Janda;Rath;May;Zelenský;Konečná;Špidlík;Vondra;Špidla;Kuciak;Plenković;Albright;Navrátil;Schäuble;Balda;Šarocha;Brežněv;Gazdík;Farský;Zikmund;Lukl;Kovář;Brada;Paroubek;Šaroch;Stehlík;Giuliani;Jakeš;Jílková;Vestager;Závodský;Winton;Guaidó;Vorlíček;Adamová;Pekarová;Vildumetzová;Michel;Štětina;Kraus;Kundera;Poc;Čunka;Kroupa;Burešová;Suchý;Šefčovič;Majerová;Kretschmer;Hus;Topolánek;H;Palacký;Bartošek;Farewell;Lhoťan;kurz;Juchelka;Luzar;Václavec;Tesař;Erdoğan;Charanzov;Macháčkem;Reagan;Dlouhý;Pokorný;Pithart;Zaeva;Seluckou;Gross;Verhofstadt;Hanuš;Fico;Ćwioro;Míle;Dobšík;Lux;Fajt;Onderka;Krutílek;Chauhan;Mitrofanova;Horská;Grospič;Cimrman;Diallo;Mrázek;Strache;Pík;Charvát;Bradáčová;Benešův;Fridrich;Stránský;Švejk;Vrecion;Čapka;Polák;Semína;Robinson;Zelenskym;Koněvovi;Dancilaovou;Gerlocha;Dienstbier;Růžička;Burlac
Šmarda;0,03828;0,05774;0,01489;0;0,06601;0,01656;0;0,01906;0;0;0;0;0;0;0,04888;0,02444;0,02464;0;0;0;0;0;0,02695;0;0,02749;0;0;0,02838;0,02869;0;0,06086;0;0;0;0;0;0;0;0;0;0;0,06804;0;0;0,03457;0;0;0;0;0;0;0;0;0;0,03928;0;0,19642;0;0;0;0;0;0,04103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koněv;0,0065;0,00981;0;0;0;0;0,0187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03922;0;0;0;0;0;0;0;0;0;0,04089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05913;0;0;0;0;0;0,05913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19612;0;0;0;0;0
Bartoš;0,04551;0;0,01518;0;0,03363;0;0;0;0;0;0;0;0;0;0,12453;0;0;0;0;0;0;0,05439;0;0,13868;0;0;0;0;0;0;0;0;0;0;0;0;0,03224;0;0;0;0;0,03467;0;0,03467;0;0;0,03774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0428;0;0,0428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04757;0;0;0;0;0;0;0;0,04903;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05439;0;0;0;0;0;0;0;0;0,05913;0;0;0;0;0,05913;0;0;0;0;0;0,05913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erdogan;0,04641;0,02;0;0,01638;0;0;0,05721;0;0;0,12865;0;0,02443;0;0,0504;0;0;0;0,02582;0;0,02722;0;0,02774;0;0;0;0;0;0;0;0;0;0,03162;0;0;0;0;0;0,06576;0;0;0;0;0;0;0;0;0;0;0,03922;0;0;0;0;0;0;0;0;0,04082;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hitler;0,01989;0;0;0;0;0;0;0;0;0;0;0,02443;0,02462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05774;0;0;0;0;0;0;0;0;0,1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pellegrini;0,01326;0,01;0,10834;0;0,05145;0,13771;0;0,03961;0,04104;0,02144;0;0;0,04924;0,20158;0;0,0254;0,12804;0,05164;0,02626;0,02722;0,05547;0,02774;0,05601;0,02828;0;0,02857;0;0,11795;0,11926;0,08944;0;0;0;0;0,03244;0,03244;0;0;0,03288;0;0;0,03536;0;0,03536;0,03592;0;0,03849;0;0;0;0;0;0;0;0;0,36742;0,04082;0;0,0417;0;0;0;0;0;0;0;0,04364;0;0;0;0;0;0;0;0;0;0;0,04714;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0;0;0;0;0,1069;0;0;0;0,05345;0;0,1069;0;0;0;0;0;0;0,05547;0;0;0;0;0;0;0;0;0;0;0,0603;0;0;0;0;0;0;0,06325;0,06325;0;0;0;0;0;0;0;0,06325;0;0;0;0;0;0;0,13333;0;0,06667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15119;0;0;0;0,07559;0;0;0;0;0,07559;0;0;0;0;0;0;0;0;0,1633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08165;0;0;0;0;0;0;0,08165;0;0;0;0;0;0;0;0;0;0;0;0,08944;0;0;0;0;0;0;0;0;0;0;0;0;0,08944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dvořák;0,00677;0,02041;0,0158;0,06689;0;0,03514;0,01946;0;0;0,02188;0;0,02494;0;0,02572;0;0;0,02614;0;0;0,02778;0;0;0;0;0;0;0;0;0;0;0,03227;0;0;0;0;0;0;0;0;0,0345;0,0345;0,03608;0;0,07217;0;0,03858;0;0;0;0;0;0;0;0;0,04167;0;0;0;0;0;0;0,04256;0;0;0;0;0,08909;0,04454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06155;0;0;0,06155;0;0;0;0,06455;0;0;0;0;0;0;0,06455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07715;0,07715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0,09129;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vondráček;0,0203;0,05103;0,03159;0;0;0,03514;0;0;0,02094;0;0,02227;0;0;0;0,02592;0,05185;0,05227;0;0;0;0;0;0;0,05774;0;0;0;0;0,06086;0;0;0,03227;0;0,09934;0,03311;0;0;0;0;0;0,06901;0;0;0;0;0;0;0,03928;0;0;0;0;0;0,04167;0;0;0;0;0;0;0;0;0,08704;0;0;0,04454;0,04454;0;0;0;0;0;0;0;0;0,04811;0;0;0;0;0;0;0;0;0;0,04951;0;0;0;0;0;0,0527;0;0;0;0;0;0;0;0,10911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0,18257;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0
Morawiecki;0,01353;0;0,04739;0;0,03501;0,07027;0;0,04042;0,06283;0,02188;0,02227;0;0;0,18002;0;0,02592;0,10454;0,02635;0,0268;0;0,02831;0;0;0;0;0,02916;0;0,06019;0,06086;0,03043;0;0;0;0;0,06623;0;0;0;0;0;0;0,03608;0;0;0,03666;0;0;0;0;0;0;0;0,36742;0;0;0;0,04167;0,04167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05661;0;0;0;0;0;0;0;0;0;0;0,06155;0;0;0;0;0;0;0;0,06455;0;0;0,06455;0;0;0;0;0;0;0;0;0;0;0,06804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07715;0;0;0;0;0;0;0;0;0;0;0;0,07715;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Staňka;0,03383;0,07144;0,06318;0;0,10502;0,07027;0;0,06063;0,02094;0;0,02227;0;0;0,02572;0,02592;0,05185;0,05227;0,0527;0;0;0;0;0,05717;0;0,08748;0;0;0,09029;0,06086;0,06086;0,06455;0;0,03269;0;0,03311;0;0;0;0;0;0;0,25259;0;0,03608;0,07332;0;0;0,19642;0;0;0;0;0,04082;0;0;0,04167;0;0;0,04256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beneš;0,03383;0;0,06318;0,01672;0,03501;0,07027;0,01946;0,02021;0,02094;0;0,02227;0,02494;0;0;0,02592;0,05185;0,05227;0,02635;0,0268;0;0,08492;0;0;0,05774;0;0,02916;0;0,09029;0,06086;0;0;0;0,03269;0;0;0;0;0,06712;0;0;0;0;0;0,03608;0;0;0;0;0;0;0,04082;0;0;0;0;0,04167;0;0;0;0;0;0;0;0;0;0,04454;0,04454;0;0;0;0;0;0;0;0;0;0,04811;0;0;0;0;0;0;0;0;0;0;0,05103;0;0;0;0;0;0;0,05455;0;0;0;0;0;0;0,05455;0;0;0;0;0;0;0;0;0;0;0;0;0,06155;0;0;0;0;0,06155;0;0;0;0;0;0;0,06455;0;0;0,06455;0;0,06455;0;0;0;0;0;0;0;0;0,06804;0,06804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07217;0;0;0;0,07217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07715;0;0;0;0,07715;0,07715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0,08333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09129;0,09129;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0,09129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Novák;0,01382;0,01043;0,06454;0;0,03576;0,07178;0;0,02065;0,04279;0,02236;0;0;0,02567;0,02627;0;0,02648;0,0534;0,02692;0;0;0;0;0,0292;0;0,02979;0,02979;0;0,06149;0,03108;0,06217;0;0;0;0;0;0;0;0;0,10284;0;0;0;0;0,03686;0;0;0,04013;0;0;0;0;0;0,0417;0;0;0;0,04256;0;0;0;0;0,04348;0;0;0;0;0;0,0455;0;0;0;0;0;0;0;0;0;0;0;0;0,05057;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05573;0;0;0;0,16718;0;0,05573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06287;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06594;0;0;0;0;0;0;0;0;0,0695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07881;0;0,23643;0;0;0;0;0,07881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08513;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Filip;0,01382;0,01043;0;0;0;0;0;0;0;0;0,02275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horáková;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10426;0;0;0;0;0
Charanzová;0,0553;0,01043;0,03227;0;0,05364;0,10768;0;0;0,02139;0;0;0;0,05133;0,02627;0;0,05296;0,10679;0,05384;0;0;0;0;0,0584;0;0,08936;0,02979;0;0,06149;0,03108;0,06217;0,03297;0;0,03339;0;0;0;0,13712;0,03428;0,06856;0;0;0;0;0,07372;0,03745;0,15762;0;0;0;0;0;0;0;0,04256;0;0;0;0;0,04348;0;0;0;0;0;0,22751;0;0,1365;0,72803;0;0;0,13988;0;0;0;0,14351;0;0;0,04915;0,04915;0;0;0;0;0;0,05057;0;0;0;0,20851;0,15639;0;0;0,21535;0;0;0;0;0;0;0;0,11146;0;0;0;0,17349;0;0;0,11566;0;0;0;0;0,06287;0;0;0;0;0,06287;0;0;0;0;0,06287;0,06287;0,06594;0;0,06594;0;0;0;0;0;0;0;0;0,46157;0;0,20851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,29488;0;0;0;0;0;0;0;0;0;0;0,51605;0;0,07372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,23643;0;0;0;0,23643;0;0,07881;0;0,07881;0;0,07881;0,07881;0;0;0;0;0,23643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25538;0;0,08513;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1865;0,09325;0;0;0;0;0,373;0;0;0;0;0;0;0;0;0,1865;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09325;0;0;0;0;0;0;0;0;0;0;0
Faltýnek;0,01414;0,01066;0,033;0,0524;0;0,01835;0;0;0,02187;0;0,02326;0;0;0;0,02708;0;0,0273;0;0;0;0;0;0;0,03015;0;0;0;0;0,03178;0;0;0,03371;0;0;0,03459;0;0;0,03505;0,03505;0;0;0;0;0;0;0;0;0,04103;0;0;0;0;0;0;0,08704;0;0;0;0;0;0;0;0;0;0;0,04652;0,04652;0;0;0;0;0;0;0;0;0;0;0;0;0,1005;0;0;0;0;0;0;0;0;0;0;0;0,05505;0;0;0;0;0;0;0;0,05698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08704;0;0;0;0;0;0;0;0;0,08704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09535;0;0,09535;0;0;0;0;0;0;0;0;0;0;0;0
Feri;0;0,02132;0;0;0;0;0;0;0;0;0,06979;0;0;0,02686;0,02708;0;0;0;0;0;0;0;0;0,03015;0;0;0;0;0;0,03178;0;0;0;0;0;0;0;0;0;0;0;0,03769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04767;0;0;0;0;0;0;0;0;0;0;0;0;0,15513;0;0;0;0;0;0;0;0;0,1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06155;0;0;0;0;0;0;0;0;0,06428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07107;0,07107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
