Source,Target,Weight
Havlíček,Kurz,3
Havlíček,Charanzová,6
Havlíček,Havlíčka,13
Havlíček,Vojtěchem,18
Havlíček,Toman,6
Havlíček,Kremlík,10
Havlíček,Brabcem,11
Havlíček,Ťok,4
Havlíček,Staňka,4
Havlíček,Dlabajová,6
Havlíček,Plaga,9
Havlíček,Macrona,3
Havlíček,Michelem,4
Havlíček,Pellegrini,4
Havlíček,Hnilička,5
Havlíček,Nacher,12
Havlíček,Hamáčkem,7
Havlíček,Tomanem,4
Havlíček,Vondráček,4
Havlíček,Jourovou,6
Havlíček,Vojtěcha,10
Havlíček,Dostálovou,10
Havlíček,Dzurilla,11
Havlíček,Maláčovou,5
Havlíček,Nováková,4
Havlíček,Hřiba,4
Havlíček,Dostálové,5
Havlíček,Kremlíka,10
Havlíček,Plagou,9
Havlíček,Novákovou,3
Havlíček,Benešovou,5
Havlíček,von der Leyenovou,4
Havlíček,Bárta,3
Havlíček,Bartha,4
Havlíček,Kněžínek,4
Havlíček,Michel,3
Havlíček,Metnar,6
Havlíček,Dzurillou,6
Havlíček,Středula,3
Havlíček,Pellegrinim,5
Havlíček,von der Leyenová,4
Havlíček,Brabce,3
Havlíček,Sobotkova,3
Havlíček,Hniličkou,3
Havlíček,Bakala,3
Havlíček,Arajmu,3
Havlíček,Kremlíkem,7
Havlíček,Metnarem,4
Babišovi,Hamáček,3
Babišovi,Brabec,3
Babišovi,Schillerové,4
Babišovi,Brabcem,3
Babišovi,Ťok,4
Babišovi,Dvořák,4
Fiala,Hamáček,5
Fiala,Havlíčkem,3
Fiala,Kalousek,7
Fiala,Klaus,3
Fiala,Moravce,4
Fiala,Kalouska,3
Fiala,Bartoš,4
Fiala,Benešové,4
Fiala,Gazdík,3
Fiala,Skopeček,3
Fiala,Stanjura,3
Fiala,Mynáře,3
Hamáček,Maláčová,7
Hamáček,Havlíčkem,5
Hamáček,Vojtěch,4
Hamáček,Dostálová,5
Hamáček,Kalousek,3
Hamáček,Schillerové,6
Hamáček,Hamáčka,10
Hamáček,Maláčové,3
Hamáček,Staněk,5
Hamáček,Staňka,4
Hamáček,Nacher,3
Hamáček,Hamáčkem,6
Hamáček,Petříček,3
Hamáček,Plagou,3
Hamáček,Sorose,3
Hamáček,Benešovou,3
Havla,Havlíčkem,7
Havla,Vojtěch,4
Havla,Schillerovou,4
Havla,Schillerové,4
Havla,Klause,5
Havla,Havel,6
Havla,Polčák,3
Havla,Bartha,3
Maláčová,Havlíčkem,5
Maláčová,Dostálová,4
Maláčová,Schillerovou,4
Maláčová,Brabec,4
Maláčová,Schillerové,7
Maláčová,Maláčové,3
Maláčová,Havlíčka,3
Maláčová,Petříček,3
Maláčová,Jourovou,3
Maláčová,Dostálovou,4
Maláčová,Dzurilla,4
Maláčová,Maláčovou,3
Maláčová,Sobotkova,3
Orbán,Vojtěch,3
Orbán,Schillerovou,3
Orbán,Brabec,3
Orbán,Merkelová,6
Orbán,Macron,5
Orbán,Salvini,7
Orbán,Salvinim,7
Orbán,Le Pen,8
Orbán,Juncker,5
Orbán,Wildersem,3
Orbán,Orbána,4
Orbán,Pellegrini,7
Orbán,Soros,4
Orbán,Kremlíka,3
Orbán,Prymula,3
Orbán,Morawiecki,5
Orbán,Schäuble,3
Havlíčkem,Masaryka,3
Havlíčkem,Vojtěch,14
Havlíčkem,Dostálová,12
Havlíčkem,Schillerovou,15
Havlíčkem,Brabec,10
Havlíčkem,Merkelová,3
Havlíčkem,Trump,3
Havlíčkem,Trumpa,4
Havlíčkem,Schillerové,17
Havlíčkem,Johnson,4
Havlíčkem,Maláčové,3
Havlíčkem,Benešová,3
Havlíčkem,Charanzová,4
Havlíčkem,Havlíčka,8
Havlíčkem,Vojtěchem,19
Havlíčkem,Toman,4
Havlíčkem,Kremlík,8
Havlíčkem,Brabcem,9
Havlíčkem,Ťok,3
Havlíčkem,Dlabajová,4
Havlíčkem,Plaga,5
Havlíčkem,Macrona,3
Havlíčkem,Pellegrini,3
Havlíčkem,Hnilička,3
Havlíčkem,Nacher,10
Havlíčkem,Hamáčkem,3
Havlíčkem,Tomanem,3
Havlíčkem,Masaryk,3
Havlíčkem,Kingem,4
Havlíčkem,Benešové,3
Havlíčkem,Jourovou,4
Havlíčkem,Vojtěcha,10
Havlíčkem,Dostálovou,9
Havlíčkem,Dzurilla,7
Havlíčkem,Maláčovou,3
