;EU;Babiš;SPD;ANO;ČSSD;Evropský parlament;Sněmovna;Zeman;Evropská unie;Senát;ODS;Evropská komise;Piráti;KSČM;Poslanecká sněmovna;TOP 09;KDU ČSL;NATO;Schillerová;Okamura;EP;Hamáček;Havlíček;Evropská rada;komise;V 4;Salvini;ČT;Maláčová;STAN;Havel;Unie;Trump;EK;Klaus;Ústavní soud;EET;Rada;OSN;Parlament;Le Pen;Merkelová;ČT 24;Agrofert;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Senát parlamentu ČR;Gott;nan;ŘSD;Ministerstvo financí;Putin;Johnson;Macron;MPO;Masaryk;Ředitelství silnic a dálnic;Fiala;Toman;Hřib;České televize;Trikolóra;UK;Juncker;CO2;Ministerstvo dopravy;Kreml;Hrad;Dostálová;Benešová;PS;Agrofertu;NKÚ;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;MPSV;Soros;ČEZ;David;Ťok;Soukup;AB;Moravec;Nejvyšší kontrolní úřad;Svobodní;TV Barrandov;Úřad vlády;FB;Ministerstvo zdravotnictví;Staněk;Islámský stát;Nováková;OECD;Wilderse;Sobotka;Huawei;BIS;Brusel;Zahradil;MF;Michálek;Šmarda;Čapí hnízdo;Stb;Policie ČR;Koněv;ČNB;Bartoš;Svoboda;WHO;Erdogan;OZE;Hitler;Pellegrini;Ministerstvo životního prostředí;Dvořák;Vondráček;Parlament České republiky;Morawiecki;Staňka;Beneš;SŽDC;Novák;Česká televize;Filip;Horáková;Ministerstvo vnitra;Charanzová;Rada EU;Faltýnek;Ministerstvo pro místní rozvoj;Feri;KSČ;Šojdrová;Schwarzenberg;Starostové a nezávislí;Dzurilla;Dlabajová;UNESCO;ČTK;OKD;Varšavská smlouva;Strakově akademii;Scheinherr;Hrnčíř;Hlaváček;MŽP;Makron;Vystrčil;Kellner;Bruselská elita;Zdechovský;Baťa;Volný;Čunek;ENF;Blaško;MMR;České televizi;Mynář;Nejvyšší soud;Škoda Auto;Český rozhlas;Kramář;Komenský;Česká pošta;Zaorálek;Jaklo;Mayová;Evropa národů a svobody;Armáda ČR;Novotný;Google;Rada Evropy;Skopeček;Duka;Polčák;EPP;Právu;PSP;TV Prima;AfD;Rada pro výzkum vývoj a inovace;SFDI;ČVUT;Ondráček;MZ;Hnutí ANO;Válková;Parlamentní listy;Národní sdružení;Pospíšil;Smoljak;Metnar;Rada ČTK;Klaus ml;Thunberg;NSZ;Aktuálně;Timmermans;České dráhy;PS PČR;Prouza;Hnilička;Senát PČR;Ministerstvo práce a sociálních věcí;Primě;MZe;KDU;Němcová;Nacher;černý;Rakušan;Niedermayer;Centre Pompidou;Přátelé koheze;České pošty;Univerzity Karlovy;Čižinský;Svoboda a přímá demokracie;Svaz měst a obcí ČR;ministerstvo průmyslu a obchodu;M;Chramostová;Akademie věd;Tusk;Facebook;Gajdůšková;Českého rozhlasu;OSVČ;ČD;DVTV;Lidové noviny;MŠMT;Dostál;Bloomberg;Právo;Wilder;Svaz měst a obcí;NÚKIB;ID;Peksa;Národní galerie;Czernin;Bakala;Foldyna;Světová zdravotnická organizace;Opat;Svaz průmyslu a dopravy;ČSÚ;Občanská demokratická strana;Doležal;Horák;VFN;Němec;Stalin;Jágr;B;Škoda;Národní sportovní agentura;Respektu;ALDE;Veselý;RVVI;Juříček;Úřad pro zastupování státu ve věcech majetkových;Jerman;Bezpečnostní rada státu;Soudní dvůr;Twitter;Lasvignes;MSV;Lega;Hlubuček;RRTV;Blesk;Evropská lidová strana;Farage;Apple Store;Cook;ČEZu;ÚOHS;Kovanda;eurozóna;Kobza;Národní rozvojový fond;Moodys;Ministerstvo spravedlnosti;IT;Nejvyšší správní soud;Heydrich;Správa železniční dopravní cesty s o;Koudelka;Identita a demokracie;Český statistický úřad;Airbnb;Středula;Morawieckiego;IKEM;Kněžínek;Volkswagen;P;Telička;Českých drah;09;Stanjura;Sehnalová;Sputnik;VZP;Kramářově vile;ČEPS;MBA;Schubert;Úřad práce ČR;Weber;Apple;Sokol;Novinkycz;Výborný;Mátl;Bettel;CVVM;Akademie věd České republiky;Bárta;Rozner;a;Parlament ČR;Pirátská strana;Baxa;FN Plzeň;Státní fond dopravní infrastruktury;Gottem;Arajma;Benda;OVM;May;ČMKOS;Českou televizi;Pavel;ÚZSVM;FPÖ;Praha Sobě;PPF;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;TV Nova;CzechInvest;Senát parlamentu;ERÚ;Thomayerova nemocnice;Ministerstvo průmyslu a obchodu;Konzervativní strana;Severoatlantická aliance;HLAS;Zima;Jarolím;Třetí říše;Deník N;Deníku N;ČR;Ministerstvo obrany;Valenta;Valné shromáždění OSN;u2066 u2069;Semín;král;Evropská investiční banka;Ježek;Liga;Rychetský;Centrum porodní asistence;Hospodářská komora;Dukovan;Ústava;Ministerstvo zemědělství;Kolaja;PL;Finanční správa;ZŠ;ISIS;Adamowicz;ANO 2011;Trestík;Rudá armáda;Bělobrádek;POLICIE;Jakl;Infocz
EU;0;0,09932;0,18762;0,08444;0,08319;0,18876;0,0558;0,04609;0,21949;0,03785;0,07513;0,15014;0,04492;0,06751;0,02459;0,05765;0,06347;0,11966;0,05573;0,0708;0,0795;0,05187;0,07438;0,11074;0,11186;0,11186;0,13459;0,03326;0,03423;0,04897;0,0266;0,12825;0,04633;0,08339;0,06286;0,01932;0,03914;0,07418;0,05202;0,06936;0,11878;0,09929;0,01773;0,0461;0,06896;0,01829;0,05854;0,0627;0,05579;0,02603;0,00757;0;0,0154;0,05827;0,01568;0,06331;0,09188;0,01198;0,01997;0,04074;0,04074;0,02881;0,02058;0,04527;0,01247;0,06653;0,10925;0,05042;0,03782;0,06796;0,00859;0,073;0,04294;0,01318;0,02636;0,03556;0,03644;0,00911;0,05997;0,02337;0,03271;0,00935;0,00935;0,07104;0,04262;0,11366;0,01421;0,00487;0,00487;0,02922;0,05929;0,12537;0,01504;0,07021;0;0,03565;0,02546;0,0662;0,02037;0,03565;0,10185;0,03104;0,02104;0,01605;0,10699;0,01633;0;0,00554;0,00554;0,02218;0,01109;0,03326;0,00565;0,02825;0,02825;0,09039;0,0113;0,05762;0,02305;0,01152;0,04609;0,05185;0,00588;0,02352;0,00588;0,02352;0,02352;0,0294;0,00588;0,01802;0,01201;0;0;0,04805;0,06607;0,13512;0,01228;0,04913;0,00614;0;0,044;0,01257;0,01257;0,06915;0,05658;0,01886;0,01288;0,02577;0,01288;0,00644;0,00644;0,05153;0,01288;0,02577;0,05287;0,00661;0;0,12557;0,01983;0,01322;0;0,00679;0,10864;0,10185;0,03395;0,02037;0,00679;0,01358;0,02716;0,00679;0;0,00699;0,03493;0,00699;0;0,04891;0,09782;0,05589;0,04891;0,02096;0,01397;0;0,0144;0,02161;0,02161;0;0,0072;0,0144;0,02161;0,06694;0,03719;0,01488;0;0,00744;0;0,01488;0,02231;0,08926;0,02231;0;0,04619;0;0,0154;0,0077;0,0077;0,0154;0,05389;0,0077;0,05389;0,0308;0,0231;0;0,0385;0,0077;0,0077;0,0077;0,0077;0,04619;0,0077;0;0,00799;0,02397;0,00799;0,03995;0,02397;0;0,0799;0,01598;0,02397;0,02397;0;0,03196;0,03995;0,02397;0;0,00799;0;0;0,00832;0,02495;0,00832;0,00832;0,02495;0,00832;0,07484;0,03326;0,01663;0,04158;0,01663;0,03326;0;0,01737;0,00869;0,01737;0,01737;0,02606;0,03474;0;0,0608;0,0608;0,00869;0,01737;0;0,01737;0,01737;0,01737;0,02606;0,01737;0,04343;0,00869;0,01737;0;0,04343;0,02606;0,05211;0,08686;0,03474;0,00911;0;0,08199;0,00911;0;0;0;0,04555;0,02733;0,02733;0,01822;0,00911;0,01822;0,02733;0;0,03644;0,00911;0,05466;0,03644;0,00911;0;0,00911;0,00911;0,05466;0,05466;0,03644;0,00911;0;0,01822;0,02733;0;0;0,05466;0,02881;0,01921;0,01921;0,02881;0;0,01921;0,01921;0,01921;0,06722;0,06722;0,06722;0,0096;0,01921;0,0096;0;0;0,0096;0,0096;0,01921;0;0,02881;0,0096;0,01921;0,0096;0;0,0096;0,0096;0,03841;0;0,02881;0,0096;0;0,0096;0;0,0096;0,0096;0,01921;0,04801;0;0;0;0,02037;0,0713;0,0713;0,0713;0,0713;0,0713;0,02037;0,04074;0,01019;0,01019;0,01019;0,03056;0,02037;0;0,01019;0,02037;0;0,02037;0,01019;0,01019;0,01019;0,04074;0;0,01019;0,03056;0;0,02037;0,02037;0,05093;0,05093;0,01019;0,01019;0,02037;0,04074;0,01019;0,02037;0,02037;0;0,01089;0;0,03266;0;0,01089;0;0;0,02178;0,01089;0;0,03266
Babiš;0,09932;0;0,12764;0,1604;0,14359;0,07501;0,08144;0,14586;0,0781;0,02439;0,08645;0,11789;0,05583;0,11005;0,02612;0,05261;0,05418;0,0408;0,0667;0,05431;0,03049;0,08528;0,03994;0,05213;0,04904;0,03678;0,03161;0,03828;0,02626;0,03315;0,02721;0,05974;0,0462;0,03554;0,0434;0,01853;0,0488;0,04268;0,03991;0,03193;0,0201;0,02856;0,01632;0,08977;0,02506;0,07999;0,0421;0,03396;0,08131;0,00856;0,01741;0;0,01772;0,0447;0,01353;0,02277;0,04137;0;0,00919;0,0375;0,07501;0,00947;0,02841;0,04736;0,01435;0,00957;0,02901;0,01934;0,02418;0,04399;0,04447;0,04447;0,0593;0,01517;0,05561;0,03581;0,02621;0,00524;0,02123;0;0,03764;0;0;0,05995;0,0218;0,0109;0,03815;0;0,02802;0,01681;0,04548;0,02885;0,01154;0,02308;0,01758;0,02344;0,03516;0,0293;0,02344;0;0,01172;0,05954;0,00605;0,02462;0,04309;0,01253;0,03132;0,01914;0,03828;0,0638;0,0319;0,02552;0,0065;0,013;0,04551;0;0;0,04641;0;0,01989;0,01326;0,02652;0,00677;0,0203;0;0,01353;0,03383;0,03383;0,00677;0,01382;0,01382;0,01382;0;0,02765;0,0553;0,0212;0,01414;0,04241;0;0,01414;0,00723;0,0217;0;0,02894;0,0434;0,00723;0,01482;0,00741;0,02224;0;0,00741;0,00741;0,01482;0,00741;0,01521;0;0,00761;0,01521;0,01521;0,00761;0,00781;0;0,00781;0,00781;0,00781;0;0,00781;0,01563;0,00781;0,01563;0;0,00804;0,02412;0,03216;0;0;0,01608;0,00804;0;0,03216;0;0,02412;0,01657;0;0;0;0;0,02486;0,01657;0;0;0;0,00856;0;0,03424;0,01712;0,02568;0;0,00856;0;0,02658;0;0,02658;0;0;0,01772;0;0,00886;0;0,00886;0,00886;0;0;0,00886;0;0;0,0443;0,02658;0;0;0;0,00919;0;0,02758;0,03678;0;0,04597;0,00919;0,01839;0,00919;0,00919;0,01839;0;0,03678;0;0,00919;0;0;0,00957;0,03828;0,00957;0,02871;0,01914;0,00957;0;0,01914;0,00957;0,00957;0;0,00957;0;0,01999;0;0;0,01;0,01999;0,01;0,01;0;0;0,01999;0;0,01;0;0,01;0;0;0,01;0,04998;0,01999;0;0;0,02999;0,01;0,01999;0,01;0,01;0,01048;0;0;0;0;0;0;0,01048;0,01048;0,01048;0;0;0,05241;0;0;0,03145;0,01048;0,05241;0,03145;0,01048;0;0,01048;0,01048;0,01048;0,01048;0;0;0;0,01048;0,03145;0;0;0,05241;0,0221;0;0,0442;0;0;0;0;0;0;0;0;0;0,01105;0,01105;0,01105;0;0,0221;0,01105;0,01105;0,01105;0,0221;0;0;0;0;0;0,0221;0;0;0,03315;0,01105;0;0;0,01105;0,03315;0;0,03315;0,01105;0;0;0,03516;0;0;0;0;0;0;0,01172;0,01172;0;0;0,02344;0;0;0;0;0,01172;0;0,01172;0,01172;0,02344;0;0,02344;0;0,02344;0,01172;0;0,02344;0;0,04688;0,02344;0,02344;0;0,01172;0,02344;0,02344;0,01172;0;0;0,01253;0;0;0;0,01253;0;0;0,01253;0,01253;0,02506;0,01253
SPD;0,18762;0,12764;0;0,24393;0,24038;0,18151;0,21481;0,06554;0,193;0,02799;0,13735;0,09293;0,09965;0,27997;0,05916;0,13285;0,13973;0,05987;0,01902;0,15436;0,03083;0,10186;0;0,00716;0,0568;0,02272;0,2109;0,07095;0,04461;0,1106;0,01681;0,03039;0,04831;0;0,05363;0,03664;0,01855;0,00959;0,03945;0,04931;0,19869;0,16134;0,02017;0,00504;0,09289;0,05722;0;0;0,02115;0;0;0;0;0,01105;0,02787;0,01688;0,13633;0;0,00568;0;0,11006;0,0117;0,0117;0,09948;0,01774;0;0,13145;0,04182;0,00597;0;0,01832;0,00611;0,01221;0,00625;0,01249;0,07585;0,03238;0;0,01968;0,01993;0,00664;0;0,01329;0,16835;0,02694;0,16162;0,00673;0,02077;0,00692;0,0277;0,10537;0,17113;0,06417;0;0,00724;0;0,01448;0,10862;0;0;0,1593;0,01471;0;0,03803;0,10649;0;0;0,02365;0;0,00788;0,00788;0,02365;0,00803;0,04017;0,0482;0,08837;0,00803;0,06554;0;0,03277;0;0;0,03345;0,03345;0,01672;0;0,00836;0,03345;0;0;0,03416;0;0;0,01708;0,03416;0,00873;0,00873;0,01747;0,01747;0;0,01788;0,02682;0;0;0,03575;0;0,02748;0,02748;0,02748;0;0;0,15571;0;0;0,07518;0,0094;0;0,15975;0,0094;0;0,1062;0;0,16413;0,16413;0;0,01931;0,00965;0,03862;0;0,03862;0;0;0,00993;0,00993;0,07948;0;0,15895;0,07948;0,06954;0,00993;0,01987;0,0298;0,02048;0,03072;0,01024;0;0,01024;0,03072;0,06144;0;0;0;0,02115;0;0;0,02115;0,05288;0,12691;0;0;0;0,05474;0,03284;0,01095;0;0,01095;0,02189;0;0,07663;0,01095;0;0;0,04379;0;0,01095;0,02189;0,01095;0;0,01095;0;0;0;0;0,01136;0,04544;0,03408;0,14769;0;0;0,04544;0;0,01136;0,01136;0,01136;0,01136;0,0568;0;0;0,02365;0,02365;0;0,01182;0;0,01182;0,0946;0,01182;0;0,10642;0,0473;0;0;0,03705;0;0,01235;0;0;0,03705;0;0,0988;0,08645;0;0,0247;0,01235;0,01235;0,03705;0;0;0,03705;0,0247;0;0;0;0,01235;0;0;0,0741;0;0;0;0,11658;0;0,09067;0,02591;0;0,03886;0;0;0;0;0,07772;0,02591;0,06477;0;0;0,05181;0,01295;0;0;0;0,01295;0,10363;0,05181;0;0;0;0;0,01295;0;0;0,05181;0;0;0,02731;0;0,02731;0;0;0;0,10923;0,10923;0,09558;0;0;0,02731;0,08192;0,01365;0;0;0,04096;0;0;0;0,02731;0;0;0,01365;0;0;0;0;0,01365;0;0;0,01365;0,02731;0,02731;0;0,09558;0,05793;0;0;0;0,10137;0,11586;0,10137;0,11586;0,10137;0,01448;0;0;0,02896;0;0,01448;0,01448;0;0;0;0;0,05793;0,02896;0,02896;0,01448;0;0;0,01448;0;0,02896;0;0;0,05793;0,10137;0;0;0;0,01448;0;0;0,02896;0;0;0;0,01548;0;0;0;0;0;0;0,06193;0
ANO;0,08444;0,1604;0,24393;0;0,3662;0,07895;0,16046;0,03489;0,0583;0,05135;0,16343;0,07131;0,10738;0,32707;0,05498;0,12521;0,11903;0,03221;0,0756;0,03049;0,0428;0,07979;0,06006;0,03658;0,02581;0,02581;0,05323;0,04029;0,04146;0,11631;0,02864;0,01479;0,02494;0,01995;0,0203;0,04161;0,06848;0,02723;0,04481;0,03921;0,03949;0,02291;0,01718;0,02863;0,01172;0,04136;0,03545;0,04765;0,04204;0;0,01833;0;0,00622;0,02509;0,00633;0,00639;0,0129;0;0,0129;0,02632;0,04606;0,02659;0,02659;0,05317;0,02015;0,00672;0,02036;0,00679;0,03393;0,0343;0,01387;0,01387;0,04855;0,00709;0;0,05025;0,04414;0;0,02235;0,02264;0,03019;0;0,03019;0,06884;0,02295;0,05354;0,03824;0,00786;0,01573;0,03146;0,1117;0,04049;0,0162;0,05669;0,00822;0,00822;0,01645;0,05757;0,02467;0,00822;0,02467;0,04178;0,00849;0,02592;0,0432;0,01758;0,00879;0,02686;0,00895;0;0,01791;0,02686;0,00912;0,00912;0;0,02737;0;0,03722;0;0;0,0093;0,04652;0,0095;0,04748;0;0,0095;0,0095;0,01899;0;0,0097;0,0194;0;0,0194;0,0388;0,11641;0,01984;0,06943;0,03968;0,02976;0;0,03046;0;0;0,04061;0,10152;0,01015;0,04161;0;0;0;0;0,04161;0,0104;0,0104;0,01067;0,01067;0;0,03202;0;0,01067;0,01097;0,02193;0,0329;0,04386;0;0,02193;0,01097;0,01097;0,01097;0;0;0;0,01128;0;0,03385;0;0,02257;0,01128;0,01128;0;0;0,01128;0,01163;0,03489;0,01163;0,01163;0;0,03489;0;0,04805;0;0;0;0;0,01201;0,06006;0,01201;0,01201;0,02402;0;0,01243;0,0373;0,01243;0,01243;0;0,01243;0;0,01243;0,01243;0;0,02487;0;0,0373;0,01243;0,01243;0,01243;0;0,0373;0;0,0129;0,0129;0,02581;0;0,0129;0,02581;0;0,06452;0;0;0;0;0,03871;0,0129;0;0,0129;0,0129;0,0129;0,02686;0,01343;0,02686;0,01343;0,01343;0;0,01343;0;0,02686;0;0,05372;0,01343;0,02686;0;0,01403;0,01403;0,01403;0;0;0,02806;0,02806;0,01403;0,01403;0;0,01403;0;0;0;0,01403;0,01403;0,01403;0,09819;0,01403;0;0;0,04208;0,04208;0,02806;0,01403;0,01403;0;0;0,02942;0;0,02942;0;0;0;0,01471;0,01471;0,01471;0;0,04414;0;0;0;0,01471;0,05885;0,04414;0,01471;0;0;0,01471;0,05885;0;0;0;0;0,01471;0,04414;0;0;0,07356;0;0;0,01551;0,01551;0,01551;0;0,01551;0;0,01551;0,01551;0,01551;0;0,01551;0,01551;0,03102;0;0;0;0;0,01551;0,01551;0;0;0;0;0;0;0,01551;0;0,03102;0;0;0;0;0;0,01551;0,01551;0;0;0;0,01645;0,01645;0,01645;0,01645;0,01645;0,01645;0,01645;0;0,01645;0;0,04935;0;0,01645;0;0;0;0,01645;0;0,01645;0;0;0;0;0;0,01645;0;0,0329;0,01645;0;0,08224;0,0329;0;0,01645;0;0;0,01645;0,01645;0;0,01758;0;0;0;0;0;0;0;0;0,03517;0;0,03517
ČSSD;0,08319;0,14359;0,24038;0,3662;0;0,06587;0,12102;0,08383;0,08638;0,03672;0,11899;0,06568;0,09878;0,36987;0,06116;0,13177;0,13902;0,02866;0,04685;0,04579;0,02337;0,24362;0,04409;0,03255;0,01292;0,03014;0,05773;0,01344;0,11529;0,11178;0,02867;0,00494;0,03495;0;0,02033;0,05728;0,05274;0,02726;0,01682;0,02803;0,04518;0,04013;0,0172;0,00573;0,02347;0,03549;0,02366;0,02982;0,03006;0;0;0;0;0,03768;0,01268;0,0064;0,03229;0,00646;0,00646;0,02635;0,05269;0,02661;0;0,03327;0,02017;0,00672;0,03397;0,01359;0,00679;0,02747;0,02083;0,01389;0,02777;0,0071;0,0071;0,03593;0,1031;0;0,01492;0,00756;0,00756;0,00756;0,03022;0,04594;0,01531;0,04594;0,00766;0,00787;0,00787;0,02362;0,09585;0,04054;0,01622;0,04865;0;0,01647;0,11527;0,0494;0,01647;0,00823;0,0247;0,05019;0;0,00865;0,05189;0,0088;0,0088;0;0,11652;0;0,00896;0,00896;0,00913;0;0,00913;0,04567;0;0,03726;0;0;0,01863;0,02794;0,00951;0,01901;0,00951;0,00951;0,07606;0,01901;0;0,00971;0,00971;0;0;0,04856;0,03885;0,01986;0,00993;0,02979;0,00993;0;0,03049;0,01016;0;0,02033;0,04065;0,01016;0,03124;0,02083;0,02083;0;0;0,03124;0,01041;0;0;0,01068;0;0,03205;0;0;0,02196;0,02196;0,02196;0,03293;0;0,03293;0,01098;0,02196;0,01098;0,01098;0;0;0,02259;0,03389;0,02259;0;0,02259;0,0113;0,0113;0,02259;0;0,0113;0,01164;0,02329;0;0;0;0,02329;0,01164;0,03608;0;0;0;0;0,03608;0,01203;0,02405;0,01203;0,02405;0;0,01245;0,0249;0,0249;0;0;0;0;0,01245;0,01245;0,0249;0,01245;0,01245;0,04979;0;0;0,01245;0,0249;0;0;0;0,01292;0,02583;0;0,03875;0,05167;0,01292;0,0775;0;0;0;0;0;0,01292;0,02583;0,0775;0,01292;0;0,01344;0,02689;0,01344;0,01344;0;0;0,01344;0;0,01344;0,01344;0,02689;0,01344;0,04033;0;0;0,05617;0;0;0,01404;0,02809;0,01404;0,01404;0,01404;0;0;0,01404;0;0;0;0,01404;0;0,04213;0,04213;0,01404;0;0;0;0,01404;0,01404;0;0;0;0,02946;0;0;0,01473;0;0,01473;0;0;0,01473;0,01473;0,01473;0;0,01473;0;0;0,05891;0,02946;0;0;0;0,01473;0,02946;0,01473;0;0,02946;0;0;0,01473;0;0;0,04418;0;0;0,04657;0,03105;0,01552;0,01552;0;0;0,01552;0,01552;0,01552;0;0,01552;0,01552;0,03105;0;0;0;0,01552;0;0,01552;0;0;0;0;0;0;0;0;0;0;0,01552;0;0,01552;0,01552;0;0;0;0;0;0,03293;0,01647;0,01647;0,01647;0,01647;0,01647;0,01647;0;0,01647;0;0,0494;0;0;0;0;0;0,01647;0;0,01647;0;0;0;0;0,01647;0;0;0,01647;0;0;0,0494;0,03293;0;0,01647;0;0;0,0494;0,01647;0;0,0176;0;0;0;0;0;0;0;0,0176;0,0176;0,0176;0,05281
Evropský parlament;0,18876;0,07501;0,18151;0,07895;0,06587;0;0,03118;0,02357;0,2103;0,00743;0,07276;0,16475;0,07057;0,05217;0,02785;0,06181;0,0603;0,03626;0,03283;0,06179;0,0473;0,03234;0,05274;0,08649;0,11331;0,03922;0,18428;0,02268;0,01867;0,05185;0,01451;0,08994;0,02022;0,01011;0,04629;0,01581;0,02669;0,07724;0,05675;0,07378;0,20008;0,12766;0,0058;0,02901;0,10097;0;0,04789;0,04829;0,07912;0,00609;0;0;0,0063;0,02543;0;0,00648;0,09152;0,00654;0,01961;0,03333;0,02667;0,04041;0,01347;0,02694;0,01361;0,01361;0,12377;0,03438;0,0275;0,04865;0,01405;0,05622;0,04216;0;0,01438;0,01455;0,02981;0,00745;0,06039;0;0,02294;0;0,00765;0,13175;0,05425;0,1705;0,0155;0,00797;0;0,01594;0,03234;0,16412;0,01641;0,04103;0;0,00833;0,04167;0,04167;0,03333;0,00833;0,16667;0,0254;0,01721;0,00875;0,09629;0,01782;0;0,00907;0;0,00907;0,00907;0,03629;0;0,00925;0,01849;0,12943;0;0,02828;0;0,01886;0,03771;0,066;0;0,00962;0,00962;0,00962;0,02887;0,01925;0;0,00983;0,00983;0;0;0,03932;0,12778;0,0201;0,0201;0,03015;0,0201;0,01005;0,04115;0,01029;0,03086;0,07201;0,10287;0,02057;0,01054;0,02108;0;0;0;0,10541;0,03162;0,01054;0,03244;0;0;0,20548;0,01081;0,01081;0,03333;0,01111;0,18889;0,15556;0;0,03333;0;0,02222;0;0;0;0;0,02287;0,01143;0;0,01143;0,18293;0,1029;0,08003;0;0;0;0,01179;0,03536;0,03536;0,01179;0;0,03536;0,03536;0,03651;0;0,01217;0;0;0;0,02434;0,03651;0,14606;0,01217;0;0,0252;0;0,0378;0;0;0,0126;0;0,0252;0,08819;0,0126;0,0378;0;0,0126;0,0126;0;0;0,0126;0,07559;0;0,01307;0;0,02615;0;0,01307;0,01307;0;0,07845;0;0;0;0;0,01307;0,03922;0;0;0;0;0;0;0,02722;0;0,01361;0;0;0,08165;0;0,01361;0,12247;0,01361;0,04082;0,01361;0,02843;0;0;0;0;0,01421;0;0,09949;0,09949;0;0,02843;0;0,02843;0;0,01421;0,02843;0,02843;0,07107;0,01421;0;0;0,02843;0,01421;0,04264;0,01421;0,01421;0,01491;0;0,13416;0;0;0;0,02981;0,05963;0,01491;0,02981;0,02981;0;0;0;0;0,01491;0;0,08944;0,02981;0;0;0;0,01491;0,10435;0,01491;0,01491;0;0;0;0,02981;0;0;0,08944;0,04714;0;0,01571;0,03143;0,01571;0;0,01571;0;0,12571;0,12571;0,12571;0;0,01571;0;0;0;0,01571;0,01571;0,01571;0;0;0;0,01571;0,01571;0,03143;0,01571;0;0,01571;0;0,01571;0,03143;0;0;0;0;0,01571;0,01571;0,04714;0;0;0;0,01667;0,11667;0,13333;0,11667;0,11667;0,11667;0,01667;0,03333;0;0,01667;0;0;0,01667;0;0;0;0;0,01667;0;0;0;0,05;0;0,01667;0;0;0;0,01667;0,08333;0,06667;0;0;0;0,01667;0;0,01667;0,06667;0,01782;0;0;0;0;0,03563;0;0;0;0,01782;0,01782;0,05345
Sněmovna;0,0558;0,08144;0,21481;0,16046;0,12102;0,03118;0;0,04961;0,04973;0,09436;0,09556;0,04056;0,09431;0,11994;0,07444;0,06194;0,07722;0,03998;0,06946;0,05806;0,0158;0,05672;0,05286;0,03715;0,00437;0,03057;0,02252;0,06819;0,06549;0,05197;0,03878;0,01002;0,02026;0;0,02577;0,02641;0,0535;0,03871;0,02275;0,05688;0,02865;0,01163;0,01163;0,01163;0,01786;0,018;0,042;0,05444;0,0122;0,0061;0,01241;0;0,01894;0,06371;0,01286;0,01298;0,01966;0,00655;0,02621;0,02673;0,08018;0,0135;0,02025;0,08099;0,02728;0,00682;0,01378;0,01378;0,04135;0,0418;0,02113;0,0493;0,02817;0;0,01441;0,10206;0,00747;0,00747;0,01513;0,03066;0,04599;0;0,05365;0,00777;0,0466;0,00777;0,00777;0,01597;0,00799;0,04792;0,09723;0,02467;0,0329;0,0329;0;0,05846;0,03341;0,0167;0,00835;0,0167;0,0167;0,01697;0,00863;0,00877;0;0,00893;0;0,02728;0;0,00909;0,02728;0,01818;0;0,01853;0,0278;0,01853;0;0,00945;0;0,00945;0,00945;0,02835;0,02893;0,07715;0,01929;0,01929;0,01929;0,03858;0,00964;0;0;0,00985;0;0,02955;0,0197;0,03022;0,02015;0,06044;0,01007;0;0,01031;0,03093;0;0,04124;0,02062;0;0,03169;0,04226;0,03169;0;0,01056;0,01056;0;0;0;0;0;0,02168;0;0,02168;0,05568;0;0,01114;0,01114;0,03341;0,04454;0,01114;0,02227;0,01114;0,01114;0;0,02292;0,02292;0,01146;0,01146;0;0,01146;0,01146;0;0,01146;0;0;0,02362;0,01181;0;0,01181;0;0;0,01181;0,0366;0;0;0,0244;0;0;0,0366;0,0244;0;0,0122;0;0,02525;0,02525;0,03788;0;0;0,01263;0;0,05051;0;0;0;0;0,06313;0;0;0,02525;0,03788;0,01263;0;0,0131;0;0;0;0,02621;0,03931;0;0,03931;0;0,03931;0,0131;0;0,03931;0,0131;0,0131;0,0131;0,05241;0,0131;0;0,01364;0,01364;0,01364;0;0,01364;0,01364;0;0,02728;0;0;0,02728;0,01364;0;0,04274;0;0,02849;0,01425;0,02849;0;0,01425;0;0;0,01425;0,02849;0,01425;0;0,01425;0,01425;0,01425;0,01425;0,01425;0;0,01425;0,02849;0,07123;0,01425;0;0,01425;0,01425;0;0;0;0;0;0;0;0,01494;0,02988;0,02988;0,01494;0;0;0;0;0,05976;0,02988;0,05976;0,05976;0;0;0,01494;0,01494;0;0,04482;0,01494;0;0;0,04482;0,01494;0;0;0,01494;0,01575;0,01575;0,04725;0,01575;0,01575;0,01575;0,0315;0,04725;0;0;0;0;0,01575;0;0,06299;0;0,01575;0,01575;0,01575;0;0,0315;0,0315;0;0;0;0;0,01575;0,01575;0;0,06299;0,01575;0;0;0;0,0315;0;0,04725;0;0,0167;0;0;0,0167;0;0;0;0;0;0;0,0167;0;0,03341;0,0167;0,0167;0;0;0;0,0167;0;0;0;0;0,0167;0;0;0;0;0;0,0167;0;0,0167;0;0;0,0167;0,03341;0;0;0;0;0;0,01786;0;0;0;0;0;0;0,03571;0,01786;0,01786;0,01786
