;EU;Babiš;SPD;ANO;ČSSD;Evropský parlament;Sněmovna;Zeman;Evropská unie;Senát;ODS;Evropská komise;Piráti;KSČM;Poslanecká sněmovna;TOP 09;KDU ČSL;NATO;Schillerová;Okamura;EP;Hamáček;Havlíček;Evropská rada;komise;V 4;Salvini;ČT;Maláčová;STAN;Havel;Unie;Trump;EK;Klaus;Ústavní soud;EET;Rada;OSN;Parlament;Le Pen;Merkelová;ČT 24;Agrofert;Orbán;Kalousek;Brabec;Vojtěch;Senát parlamentu ČR;Jourová;Gott;nan;ŘSD;Ministerstvo financí;Putin;Johnson;Macron;MPO;Masaryk;Ředitelství silnic a dálnic;Fiala;Hřib;Toman;České televize;Trikolóra;UK;Juncker;CO2;Ministerstvo dopravy;Kreml;Hrad;Dostálová;Benešová;PS;Agrofertu;NKÚ;Petříček;Palach;von der Leyen;Plaga;Kubera;Čaputová;MPSV;Soros;ČEZ;Ťok;David;AB;Soukup;Moravec;Nejvyšší kontrolní úřad;Svobodní;TV Barrandov;Úřad vlády;Ministerstvo zdravotnictví;FB;Staněk;Islámský stát;OECD;Nováková;Wilderse;Sobotka;Huawei;BIS;Brusel;Zahradil;MF;Šmarda;Michálek;Čapí hnízdo;Stb;Policie ČR;Koněv;ČNB;Bartoš;Svoboda;WHO;Erdogan;OZE;Pellegrini;Hitler;Ministerstvo životního prostředí;Dvořák;Vondráček;Morawiecki;Parlament České republiky;Staňka;SŽDC;Beneš;Novák;Česká televize;Filip;Horáková;Ministerstvo vnitra;Charanzová;Rada EU;Faltýnek;Ministerstvo pro místní rozvoj;Feri;KSČ;Šojdrová;Schwarzenberg;Starostové a nezávislí;Dzurilla;Dlabajová;UNESCO;OKD;ČTK;Scheinherr;Strakově akademii;Varšavská smlouva;Hrnčíř;Hlaváček;MŽP;Makron;Vystrčil;Kellner;Bruselská elita;Zdechovský;Baťa;Volný;Čunek;MMR;České televizi;ENF;Blaško;Mynář;Nejvyšší soud;Škoda Auto;Český rozhlas;Kramář;Komenský;Česká pošta;Zaorálek;Jaklo;Mayová;Evropa národů a svobody;Armáda ČR;Novotný;Google;Rada Evropy;Skopeček;Polčák;Duka;EPP;Právu;PSP;AfD;TV Prima;Rada pro výzkum vývoj a inovace;ČVUT;SFDI;Ondráček;Hnutí ANO;MZ;Válková;Národní sdružení;Parlamentní listy;Pospíšil;Smoljak;Rada ČTK;Metnar;Thunberg;Klaus ml;NSZ;Aktuálně;Timmermans;PS PČR;České dráhy;Prouza;Hnilička;Senát PČR;Primě;Ministerstvo práce a sociálních věcí;MZe;Němcová;KDU;Nacher;černý;Rakušan;Niedermayer;Centre Pompidou;Přátelé koheze;České pošty;Svaz měst a obcí ČR;Svoboda a přímá demokracie;Čižinský;ministerstvo průmyslu a obchodu;M;Akademie věd;Chramostová;Univerzity Karlovy;Facebook;Gajdůšková;Tusk;Českého rozhlasu;OSVČ;ČD;DVTV;Lidové noviny;MŠMT;Bloomberg;Dostál;Právo;Wilder;Svaz měst a obcí;NÚKIB;Peksa;ID;Czernin;Národní galerie;Foldyna;Bakala;Světová zdravotnická organizace;Opat;Jágr;ČSÚ;Svaz průmyslu a dopravy;VFN;Doležal;Horák;Občanská demokratická strana;Němec;Stalin;B;Škoda;Respektu;Národní sportovní agentura;Juříček;ALDE;Veselý;RVVI;Úřad pro zastupování státu ve věcech majetkových;Jerman;Soudní dvůr;Bezpečnostní rada státu;Twitter;Lasvignes;MSV;Apple Store;Cook;ČEZu;Hlubuček;RRTV;Lega;Blesk;Evropská lidová strana;Farage;ÚOHS;Kovanda;eurozóna;Národní rozvojový fond;Kobza;Moodys;Ministerstvo spravedlnosti;IT;Nejvyšší správní soud;Správa železniční dopravní cesty s o;Koudelka;Český statistický úřad;Heydrich;Airbnb;Středula;Morawieckiego;Identita a demokracie;Kněžínek;IKEM;Volkswagen;Telička;P;Českých drah;09;Stanjura;Sputnik;Apple;Sehnalová;VZP;Kramářově vile;MBA;Schubert;Úřad práce ČR;ČEPS;Weber;Sokol;Novinkycz;Výborný;Mátl;Bárta;Bettel;CVVM;Akademie věd České republiky;Rozner;a;FN Plzeň;Baxa;Parlament ČR;Pirátská strana;Arajma;Gottem;Státní fond dopravní infrastruktury;OVM;Českou televizi;Benda;Pavel;ČMKOS;May;ÚZSVM;FPÖ;Praha Sobě;PPF;CzechInvest;š;Tošenovský;TV Nova;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Senát parlamentu;ERÚ;HLAS;Konzervativní strana;Severoatlantická aliance;Thomayerova nemocnice;Ministerstvo průmyslu a obchodu;Třetí říše;Zima;Jarolím;Deník N;Deníku N;Valenta;u2066 u2069;Centrum porodní asistence;ČR;Ministerstvo obrany;Valné shromáždění OSN;Evropská investiční banka;Semín;král;Liga;Ježek;Rychetský;Hospodářská komora;Dukovan;Ústava;Ministerstvo zemědělství;Kolaja;Finanční správa;ZŠ;PL;ISIS;Kongres;Adamowicz;Trestík;Rudá armáda;ANO 2011;POLICIE;Jakl;Bělobrádek;Dopita;Běrsko;Hahnová;Henner;Městská část Praha 11;Paul;SPD 10 Bc;Vašíček;Vostenak;gšt;Mitterwald;NOS;Schmeidler;Národní galerie Praha;Liberty Ostrava;Infocz;Poche;Visegrádská čtyřka;Ovčáček;Nečas;Thermal;Sudetoněmecký landsmanšaft;MfD;Gregorová;Bartha;TGM;Szijjártó;ECOFIN;Opletal;Hilšer;EUCO;Univerzita Karlova;Sáblíková;Ministerstvo školství;Jelínek;ČRo;Visegrádská skupina;Zažímalová;Státní tiskárny cenin;Národní muzeum;Thomayerovy nemocnice;MO;Rath;Úřad vlády ČR;MZV;ČSBS;Konečná;TV;EIA;Zelenský;MIT;Janda;Špidlík;Vondra;Tv Barrandov;MSP;MF Dnes;Člověka v tísni;Člověk v tísni;Špidla;Správa železniční dopravní cesty;Akademii věd;US;University of Maryland;Plenković;Kuciak;Aeronet;Albright;Univerzita Palackého;AT amp T;HBO;Lesy ČR;Schäuble;Brežněv;IBM;NHL;Navrátil;Balda;Energetický regulační úřad;Akademií věd;Šarocha;Blesku;Gazdík;MV;Svobodném rádiu;Farský;Lukl;BESIP;Letiště Václava Havla;Zikmund;AV ČR;Na Bulovce;Českého zahrádkářského svazu;Kovář;Rady seniorů;Bílém domě;Brada;Paroubek;Median;CDU;Šaroch;euroskupina;OLAF;Stehlík;Národním muzeu;Jakeš;Jílková;Vorlíček;Českém rozhlase;ANO ČSSD;Slavia;Guaidó;Závodský;Winton;Transparency International;Vestager;Ministerstvo zahraničních věcí;Michel;Česká pirátská strana;Adamová;Pekarová;Vildumetzová;LRV;PiS;GE;Národní galerii;Národní shromáždění;IZS;Výbor pro rozpočtovou kontrolu;Štětina;Fakultní nemocnice Plzeň;Státní veterinární správa;Giuliani;Kraus;Obecním domě;Česká národní banka;ECR;Kundera;Zelení;Národní úřad pro kybernetickou a informační bezpečnost;CzechInvestu;Císařské lázně;ACRE;Medical Tribune;Starostové;Spojená síla;Události komentáře;Čunka;National Science Foundation;Poc;Kroupa;Burešová;Tatra;Nova;Český dům;SPD 6 Bc;SS;Economia;Silver A;Kretschmer;Hus;Agrární komora;Topolánek;EU pro energetiku;Suchý;Koalice Vlasta;EU countries;FÚ;Směr;Šefčovič;Majerová;AI;Toyota;Ministerstvo kultura;ORTEL;Bild;Ústavu pro studium totalitních režimů;Senátor 21;H;Akademie věd ČR;Palacký;Farewell;Bartošek;C;Googlu;Tesař;Nově;Dlouhý;Václavec;Masarykovy univerzity;kurz;Juchelka;Armáda České republiky;Národního divadla;Lhoťan;Kliniky;Úřad pro ochranu hospodářské soutěže;HN;Luzar;Reagan
EU;0;104;159;63;62;139;41;32;152;25;49;85;25;36;13;29;31;54;25;30;33;21;30;44;42;42;49;12;12;17;9;42;15;27;20;6;12;22;15;20;34;28;5;13;19;5;16;17;7;15;2;0;4;15;4;16;23;3;5;10;10;5;7;11;3;16;26;12;9;16;2;17;10;3;6;8;8;2;13;7;5;2;2;15;9;3;24;1;1;6;12;25;3;14;7;0;5;13;7;4;20;6;4;3;20;3;0;1;1;4;2;6;1;5;5;16;2;10;4;8;2;9;1;4;4;1;4;1;5;3;2;0;0;8;11;22;2;8;1;0;7;2;2;11;9;3;4;2;1;1;2;8;2;4;8;1;0;19;3;2;0;1;5;3;16;15;1;2;4;1;0;1;5;1;0;7;14;8;7;3;2;0;3;2;3;0;1;3;2;9;2;5;0;0;1;2;12;3;3;0;0;6;1;2;1;2;7;7;1;4;3;0;1;5;1;1;1;6;1;0;1;3;1;5;2;10;0;3;3;4;0;3;3;0;5;1;0;0;1;3;1;3;1;1;9;4;2;2;5;0;4;1;2;2;2;2;4;3;1;7;7;0;2;0;2;2;2;3;0;5;1;2;5;3;10;6;4;1;0;3;3;2;1;0;9;0;0;5;1;2;3;4;0;1;6;4;1;1;1;6;0;4;1;0;6;3;2;0;6;0;3;2;2;0;2;3;2;2;7;7;7;2;1;1;0;0;1;3;1;2;0;1;2;1;1;1;0;3;0;4;0;1;1;1;0;1;2;5;0;0;4;0;2;2;7;7;7;7;7;1;1;1;2;0;1;3;2;2;0;1;1;0;3;1;1;4;1;2;0;2;5;5;1;2;4;1;2;2;1;0;0;3;2;0;0;0;1;1;0;2;7;7;7;7;7;7;7;7;7;7;7;7;7;0;1;3;1;3;0;0;1;1;0;1;5;0;4;1;0;0;2;2;1;5;1;1;0;2;1;0;1;0;0;0;0;0;4;0;1;2;1;0;0;0;0;0;1;2;1;4;1;3;1;1;1;1;1;1;0;3;0;1;2;3;2;0;0;0;2;4;1;0;2;0;2;1;1;1;2;1;0;0;3;1;1;1;0;1;1;2;0;3;2;0;2;1;1;3;0;1;1;1;0;0;1;2;4;3;0;1;1;3;0;3;0;1;2;0;2;2;1;3;0;0;0;2;0;2;0;2;3;1;2;0;0;1;0;0;1;2;0;0;1;1;3;5;2;0;0;1;0;0;1;3;0;0;1;0;0;0;0;0;1;1;3;0;0;0;1;3;5;0;0;1;1;0;0;1;2;1;2;1;2;1;0;0;1;4;0;0
Babiš;104;0;94;104;93;48;52;88;47;14;49;58;27;51;12;23;23;16;26;20;11;30;14;18;16;12;10;12;8;10;8;17;13;10;12;5;13;11;10;8;5;7;4;22;6;19;10;8;2;19;4;0;4;10;3;5;9;0;2;8;16;6;2;10;3;2;6;4;5;9;9;9;12;3;11;7;5;1;4;7;0;0;0;11;4;7;2;5;0;3;8;5;2;4;4;3;6;5;0;4;2;10;1;4;7;2;5;6;3;10;5;4;1;2;7;0;0;7;0;2;3;4;1;3;2;0;5;1;5;2;2;2;0;4;8;3;2;6;0;2;1;3;0;4;6;1;1;2;1;0;3;1;2;1;2;0;1;2;2;1;1;0;1;0;1;1;1;2;1;2;0;1;3;4;0;0;2;1;0;4;0;3;0;2;0;0;0;2;3;0;0;0;1;4;0;2;0;3;1;0;0;3;0;3;0;2;0;0;1;1;1;0;1;0;0;5;0;3;0;0;0;1;0;3;1;5;0;2;1;2;1;4;4;0;0;1;0;0;1;4;1;2;3;1;0;2;1;0;1;0;1;0;2;0;1;0;1;2;2;0;0;1;0;1;1;0;1;0;0;5;2;0;3;1;1;2;1;1;0;1;1;0;0;0;0;0;0;1;0;5;0;3;0;1;5;3;1;1;1;1;0;0;0;0;1;3;1;0;5;0;2;0;4;0;1;0;0;0;0;0;0;0;0;1;1;0;2;2;1;1;1;0;0;2;0;0;0;3;0;0;0;3;1;0;1;0;3;1;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;2;0;1;0;0;2;2;0;0;2;2;4;2;1;2;2;1;0;1;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;0;1;1;0;4;0;0;0;0;1;2;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;1;0;0;0;2;1;0;1;0;1;1;0;3;0;1;0;2;1;1;0;1;1;0;0;2;0;4;1;1;2;0;0;0;2;0;0;0;0;0;0;4;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0
SPD;159;94;0;128;126;94;111;32;94;13;63;37;39;105;22;47;48;19;6;46;9;29;0;2;15;6;54;18;11;27;4;7;11;0;12;8;4;2;8;10;40;32;4;1;18;11;0;0;0;4;0;0;0;2;5;3;24;0;1;0;19;2;2;17;3;0;22;7;1;0;3;1;2;1;2;12;5;0;3;1;3;0;2;25;4;1;24;1;3;4;15;24;9;0;0;1;2;15;0;0;22;2;0;5;14;0;0;0;3;1;1;3;1;5;6;11;1;8;0;0;4;0;4;4;0;2;1;0;4;0;4;0;0;2;4;1;1;2;2;0;2;3;0;0;4;0;3;3;0;0;3;17;0;0;8;1;0;17;1;0;11;0;0;2;17;17;1;4;0;4;0;0;1;1;8;0;16;8;7;1;2;3;3;2;1;0;1;6;3;0;0;0;2;0;0;2;12;5;0;0;5;0;1;3;0;1;2;7;0;1;0;0;0;4;1;1;2;0;1;0;0;0;0;1;0;13;3;0;4;1;0;4;1;1;1;5;0;0;2;2;0;0;1;1;8;1;0;4;9;0;0;0;3;1;0;1;3;0;0;8;7;0;2;1;3;0;3;0;0;2;0;0;1;0;6;0;0;0;0;0;0;0;0;7;9;2;0;3;0;6;2;0;5;0;4;1;0;0;1;4;0;0;0;0;8;1;0;0;4;0;0;0;2;2;0;0;0;0;8;8;7;0;0;2;6;1;0;0;0;3;0;0;2;0;1;0;0;0;0;0;0;2;1;2;1;0;0;7;4;0;0;0;0;1;7;8;7;8;7;0;2;0;1;0;0;1;4;0;0;2;2;0;0;0;1;0;1;0;2;0;7;4;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;4;0;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;3;0;4;0;2;0;0;4;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;1;3;0;0;0;2;1;1;1;0;0;0;0;0;2;0;0;1;1;0;2;1;0;0;0;0;1;0;0;0;3;2;4;0;0;0;0;0;0;1;1;0;1;1;0;0;2;0;0;2;0;0;2;0;3;0;3;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;2;0;4;0;0;1;1;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0
ANO;63;104;128;0;169;36;73;15;25;21;66;25;37;108;18;39;36;9;21;8;11;20;15;9;6;6;12;9;9;25;6;3;5;4;4;8;13;5;8;7;7;4;3;5;2;7;6;8;0;7;3;0;1;4;1;1;2;0;2;4;7;4;4;8;3;1;3;1;5;5;2;2;7;1;0;7;6;0;3;4;3;0;4;9;3;5;7;2;1;4;14;5;2;7;1;1;2;7;1;3;3;5;1;3;5;2;1;1;3;0;2;3;1;1;0;3;0;4;0;1;0;5;1;5;1;0;1;0;2;1;2;0;2;4;12;2;7;4;3;0;3;0;0;4;10;1;0;4;0;0;0;4;1;1;1;1;0;3;0;1;1;2;0;2;3;4;1;1;1;0;0;0;1;0;3;0;2;1;1;0;0;1;3;1;1;1;0;0;3;4;0;0;0;1;0;5;1;1;2;0;3;1;1;1;0;1;0;1;1;0;2;0;1;3;1;0;1;3;0;1;1;2;0;1;0;5;0;0;0;3;0;2;0;1;1;1;1;2;1;2;1;0;1;1;0;2;0;1;4;0;2;1;1;1;0;0;2;0;0;1;1;2;1;0;0;1;1;1;0;7;1;0;3;3;1;2;1;0;0;1;1;1;0;2;2;0;0;0;0;3;0;0;0;1;4;3;1;0;1;0;0;0;0;0;4;3;1;0;5;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;3;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;2;1;2;5;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2;1;0;0;0;0;1;0;1;2;0;4;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;1;2;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;1;0;0;0
ČSSD;62;93;126;169;0;30;55;36;37;15;48;23;34;122;20;41;42;8;13;12;6;61;11;8;3;7;13;3;25;24;6;1;7;0;4;11;10;5;3;5;8;7;3;1;4;6;4;5;0;5;0;0;0;6;2;1;5;1;1;4;8;0;4;5;3;1;5;2;1;4;3;2;4;1;1;5;14;0;2;1;1;1;4;6;2;1;6;1;1;3;12;5;2;6;2;0;14;6;1;2;3;6;0;1;6;1;1;13;0;0;1;1;1;0;1;5;0;4;0;2;0;3;1;2;1;1;8;0;2;1;1;0;0;5;4;2;1;3;1;0;3;1;0;2;4;1;2;3;0;0;2;3;1;0;0;1;0;3;0;0;2;2;0;3;2;3;1;2;1;1;0;0;2;3;2;0;2;1;1;2;0;1;2;1;0;0;0;1;2;3;0;0;0;3;0;1;1;2;2;0;2;1;0;2;0;0;0;1;1;2;1;1;0;4;0;2;1;0;0;0;1;2;0;3;0;6;1;0;0;0;0;4;2;6;1;1;0;1;2;1;1;0;0;1;0;1;1;1;2;0;3;4;0;0;0;0;2;1;0;1;1;1;0;1;0;0;0;1;0;3;3;1;0;0;1;1;0;0;0;0;0;1;0;0;2;1;0;1;1;1;0;0;1;0;4;2;0;0;1;1;0;0;2;0;2;1;0;0;3;0;0;0;3;1;1;2;1;0;1;1;1;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;2;1;0;1;1;1;1;1;0;3;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;2;3;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;3;1;1;0;0;0;2;0;0;3;0;2;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;3;1;0;1;0;0;0;2;0;1;1;1;0;1;1;1;1;2;0;1;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0;1;1;0;0;2;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Evropský parlament;139;48;94;36;30;0;14;10;89;3;29;57;24;17;9;19;18;10;9;16;12;8;13;21;26;9;41;5;4;11;3;18;4;2;9;3;5;14;10;13;35;22;1;5;17;0;8;8;1;13;0;0;1;4;0;1;14;1;3;5;4;2;6;4;2;2;18;5;4;7;2;8;6;0;2;2;4;1;8;3;0;0;1;17;7;2;22;0;1;2;4;20;2;5;1;0;5;5;1;4;20;3;2;1;11;2;0;0;1;1;1;4;0;1;2;14;0;3;0;4;2;7;0;1;1;1;3;0;2;1;1;0;0;4;13;2;2;3;2;1;4;1;3;7;10;2;2;1;0;0;0;10;3;1;3;0;0;19;1;1;3;1;0;3;17;14;0;2;0;0;0;0;2;1;0;1;16;9;7;0;0;0;3;1;3;1;0;3;3;3;1;0;0;0;0;2;12;3;1;0;0;2;0;3;0;1;0;7;2;1;3;0;1;1;0;1;0;6;0;1;0;2;0;1;0;6;0;0;0;1;0;1;0;0;3;0;0;0;0;2;0;0;1;0;6;0;1;1;9;1;3;0;2;0;0;2;1;0;0;7;7;0;2;0;0;1;2;2;0;5;1;0;2;1;1;3;1;1;0;1;2;2;0;0;9;0;2;4;0;0;0;1;0;0;6;2;0;0;1;1;0;1;0;0;7;2;0;0;6;0;3;0;1;1;1;2;0;1;8;8;8;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;2;1;0;1;0;0;2;1;0;0;1;3;0;0;2;0;1;1;7;8;7;7;7;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;1;1;0;0;4;5;0;0;1;0;1;4;0;0;1;0;1;0;0;0;2;1;1;0;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;3;1;1;0;0;2;0;0;3;1;0;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;1;0;0;1;0;0;4;0;0;1;1;1;0;1;0;0;0;0;0;0;3;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;2;0;0;1;0;3;0;0;1;0;3;2;1;1;0;0;0;1;2;1;0;0;1;0;0;0;1;1;0;0;1;2;0;0;0;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;0;0;0;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1
Sněmovna;41;52;111;73;55;14;0;21;21;38;38;14;32;39;24;19;23;11;19;15;4;14;13;9;1;7;5;15;14;11;8;2;4;0;5;5;10;7;4;10;5;2;2;2;3;3;7;9;1;2;2;0;3;10;2;2;3;1;4;4;12;3;2;12;4;1;2;2;6;6;3;7;4;0;2;14;1;1;2;6;4;0;7;1;6;1;1;1;2;6;12;3;4;4;7;0;4;2;2;1;2;2;1;1;0;1;0;0;3;1;3;2;0;2;3;2;0;1;0;1;1;3;3;8;2;2;2;1;4;0;0;1;0;3;2;3;2;6;1;0;1;3;0;4;2;0;4;3;1;0;3;1;0;0;0;0;0;2;0;2;5;0;3;4;1;1;1;2;1;1;0;2;2;1;1;0;1;1;0;1;0;0;1;2;0;1;0;1;0;3;0;0;2;0;0;3;0;2;1;0;2;2;0;3;0;1;0;0;4;0;0;0;0;5;0;3;2;1;0;1;0;0;0;2;0;3;0;3;1;3;0;3;1;1;1;4;1;0;1;1;1;1;0;1;0;2;0;2;0;0;1;0;3;2;1;0;0;2;1;0;0;1;2;1;1;1;1;1;2;1;0;1;5;1;1;0;1;0;0;2;2;1;0;0;0;0;0;1;0;0;0;4;0;2;4;4;0;1;1;3;0;1;0;0;0;1;3;0;1;0;1;1;3;1;1;1;1;2;0;0;0;3;0;0;4;0;1;2;1;1;0;2;0;1;0;0;0;4;0;1;0;2;1;0;0;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;0;0;3;1;0;0;0;1;0;1;0;2;0;0;0;3;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;3;0;0;2;3;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;2;3;0;0;0;0;0;1;1;1;1;0;0;0;3;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;3;2;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0
Zeman;32;88;32;15;36;10;21;0;12;18;19;6;6;8;6;8;8;10;7;10;1;11;7;6;6;4;5;8;3;8;8;1;5;0;12;5;3;3;2;4;2;8;0;2;4;0;3;1;0;4;0;0;0;2;2;2;3;1;2;2;4;2;3;7;1;0;4;0;2;4;8;3;10;0;0;4;1;2;1;3;6;1;0;1;3;1;2;1;1;3;5;1;6;1;0;0;6;2;0;1;0;7;6;4;2;1;0;6;0;3;0;1;1;0;0;0;0;2;0;1;0;2;2;5;0;0;7;0;0;1;1;1;0;1;1;1;1;1;2;1;1;3;0;2;1;1;0;0;0;1;2;1;1;1;0;0;1;0;0;0;1;0;0;2;1;1;3;2;0;2;0;0;0;4;0;0;1;0;0;0;0;0;4;0;0;0;0;1;0;1;0;0;0;0;1;3;0;2;1;0;0;1;0;0;3;1;0;0;0;1;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;3;1;1;0;1;0;1;0;0;0;0;0;0;3;0;0;1;1;1;0;0;1;0;0;0;0;0;2;0;0;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;1;0;0;1;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;2;1;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;2;1;0;1;0;0;1;0;0;0;0;3;0;1;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
