;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Hřib;Toman;Juncker;Kreml;Dostálová;Benešová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Nováková;Wilderse;Sobotka;Zahradil;Michálek;Šmarda;Koněv;Bartoš;Erdogan;Pellegrini;Hitler;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Blaško;Čunek;Mynář;Kramář;Zaorálek;Jaklo;Mayová;Novotný;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Smoljak;Pospíšil;Metnar;Klaus ml;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Bakala;Foldyna;Opat;Jágr;Doležal;Horák;Němec;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Cook;Hlubuček;Kovanda;Kobza;M;Heydrich;Koudelka;Středula;Morawieckiego;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;Bettel;Bárta;B;Výborný;Mátl;Rozner;Farage;Baxa;Gottem;Benda;Pavel;P;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Trestík;Adamowicz;Bělobrádek;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Poche;Ovčáček;Nečas;Bartha;Szijjártó;Gregorová;Opletal;Hilšer;Sáblíková;Jelínek;Zažímalová;Arajma;May;Janda;Rath;Zelenský;Konečná;Špidlík;Vondra;Špidla;Plenković;Kuciak;Albright;Schäuble;Navrátil;Brežněv;Balda;Šarocha;Gazdík;Farský;Zikmund;Lukl;Brada;Paroubek;Kovář;Šaroch;Stehlík;Jakeš;Závodský;Giuliani;Jílková;Vestager;Vorlíček;Winton;Guaidó;Michel;Adamová;Pekarová;Vildumetzová;Štětina;Kraus;Kundera;Čunka;Poc;Kroupa;Burešová;Kretschmer;Hus;Topolánek;Šefčovič;Suchý;Majerová;H;Palacký;Bartošek;kurz;Juchelka;Farewell;Tesař;Václavec;Lhoťan;Macháčkem;Luzar;Dlouhý;Reagan;Fico;Lux;Pithart;Erdoğan;Charanzov;Zaeva;Pokorný;Seluckou;Horská;Pík;Gross;Verhofstadt;Hanuš;Ćwioro;Dobšík;Fajt;Krutílek;Míle;Onderka;Grospič;Cimrman;Diallo;Chauhan;Mrázek;Charvát;Mitrofanova;Strache;Bradáčová;Stránský;Benešův;Fridrich;Švejk;Vrecion;Čapka;Polák;Semína;Robinson;Koněvovi;Zelenskym;Gerlocha;Dancilaovou;Dienstbier;Růžička;Burlac
Novák;0,0001;0,00011;0,00104;0;0,00064;0,00129;0;0,00043;0,00092;0,0005;0;0;0,00066;0,00069;0;0,0007;0,00143;0,00072;0;0;0;0;0,00085;0;0,00089;0,00089;0;0,00189;0,00097;0,00193;0;0;0;0;0;0;0;0;0,00353;0;0;0;0,00136;0;0;0;0,00161;0;0;0;0;0,00174;0;0;0;0;0,00181;0;0;0;0;0,00189;0;0;0;0;0;0,00207;0;0;0;0;0;0;0;0;0;0;0;0,00256;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00311;0;0;0;0;0,00932;0;0,00311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00395;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00435;0;0;0;0;0;0;0;0;0;0,00483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00621;0;0;0;0;0,01863;0;0;0;0;0;0,00621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00725;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Filip;0,0001;0,00011;0;0;0;0;0;0;0;0;0,00052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horáková;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01087;0;0;0;0;0;0
Charanzová;0,00038;0,00011;0,00052;0;0,00096;0,00193;0;0;0,00046;0;0;0;0,00132;0,00069;0;0,0014;0,00285;0,00145;0;0;0;0;0,00171;0;0,00089;0,00266;0;0,00189;0,00097;0,00193;0,00109;0;0,00111;0;0;0;0,0047;0,00118;0,00235;0;0;0;0,00272;0;0,0014;0,00621;0;0;0;0;0;0;0;0,00181;0;0;0;0;0,00189;0;0;0;0;0;0,01035;0;0,00621;0,03313;0;0;0,00652;0;0;0;0,00686;0;0,00242;0,00242;0;0;0;0;0,00256;0;0;0;0;0,01087;0,00815;0;0;0;0,01159;0;0;0;0;0;0;0;0,00621;0;0;0;0,01003;0;0;0,00669;0;0;0;0;0,00395;0;0;0;0;0;0,00395;0;0;0;0,00395;0,00395;0,00435;0,00435;0;0;0;0;0;0;0;0;0;0,03043;0;0,01449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02174;0;0;0;0;0;0;0;0;0;0;0,03804;0;0,00543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01863;0;0;0,00621;0,01863;0;0;0;0,00621;0;0,00621;0,00621;0;0;0;0;0,01863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02174;0;0,00725;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0,01739;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0,03478;0;0;0;0;0;0;0,01739;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0
Faltýnek;0,0001;0,00011;0,00054;0,00092;0;0,00034;0;0;0,00048;0;0,00054;0;0;0;0,00073;0;0,00075;0;0;0;0;0;0;0,00091;0;0;0;0;0,00101;0;0;0,00114;0;0;0,0012;0;0;0,00123;0,00123;0;0;0;0;0;0;0;0;0,00168;0;0;0;0;0;0;0,00379;0;0;0;0;0;0;0;0;0;0;0,00216;0,00216;0;0;0;0;0;0;0;0;0;0;0;0,00505;0;0;0;0;0;0;0;0;0;0;0;0,00303;0;0;0;0;0;0;0;0;0,00325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00758;0;0;0;0;0,00758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00909;0,00909;0;0;0;0;0;0;0;0;0;0;0;0
Feri;0;0,00023;0;0;0;0;0;0;0;0;0,00162;0;0;0,00072;0,00073;0;0;0;0;0;0;0;0;0,00091;0;0;0;0;0;0,00101;0;0;0;0;0;0;0;0;0;0;0;0,00142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00227;0;0;0;0;0;0;0;0;0;0;0;0,00802;0;0;0;0;0;0;0;0;0,00606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00379;0;0;0;0;0;0,00413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00505;0,00505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Šojdrová;5E-05;0,00012;0;0;0,0007;0,00071;0;0;0,0005;0;0;0;0,00144;0;0;0,00154;0,00078;0,00079;0;0;0;0;0,00093;0;0,00097;0,00097;0;0,00104;0;0,00212;0,00119;0;0,00122;0;0;0;0;0,00129;0,00129;0;0;0,00149;0;0;0,00154;0,0068;0;0;0;0,00183;0;0;0;0;0;0;0;0;0;0;0;0,01035;0;0;0;0;0,00227;0,00907;0;0;0,00476;0;0;0;0,02005;0;0,00265;0;0;0;0;0;0;0;0;0;0;0,0119;0,01786;0;0;0;0,0127;0;0;0;0;0;0;0;0,0034;0;0;0;0,01099;0;0;0,00366;0;0;0;0;0,00433;0;0;0;0;0;0;0;0;0;0;0,00433;0;0;0;0;0;0;0;0;0;0;0;0,01429;0;0,01587;0;0,00529;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02381;0;0;0;0;0;0;0;0;0;0;0,01786;0;0,00595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02041;0;0;0,0068;0;0;0;0;0;0;0;0;0;0;0;0;0,02041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02381;0;0,00794;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01905;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0
Schwarzenberg;0,00016;0,00036;0,00029;0,00032;0,00035;0,00035;0;0;0,0015;0;0,00113;0;0;0;0,00154;0;0,00078;0;0;0,00088;0;0;0;0,0019;0;0;0;0;0,00106;0;0;0,00119;0;0;0,00125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00198;0;0;0,00198;0;0;0;0;0,00216;0;0;0;0,00227;0;0;0;0;0;0;0;0;0;0;0;0,00265;0;0;0;0;0;0;0,00298;0;0;0;0;0,00317;0;0;0;0,0034;0;0;0;0;0,0034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0068;0;0;0;0;0;0;0;0;0;0;0;0;0,00794;0;0;0;0;0;0;0;0;0;0;0;0;0,00794;0;0;0;0;0;0;0,00794;0;0;0;0;0,00794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0
Dzurilla;0,00021;0,00024;0,00228;0;0,0007;0,00529;0;0,0014;0,0015;0,00164;0,0017;0;0,00072;0,00076;0;0,00384;0,00625;0,00238;0;0;0,00183;0;0,00187;0,00095;0;0,00292;0;0,00518;0,00635;0,00423;0,00119;0,00119;0,00122;0;0,00376;0;0;0;0,00129;0;0,00272;0,00149;0,00298;0;0,00154;0,0017;0;0;0;0,00183;0;0,0019;0;0,00397;0,00198;0;0;0,00198;0;0;0;0,00621;0,00216;0;0,00227;0,00227;0;0,00454;0;0;0;0,00501;0;0;0;0;0;0;0;0;0,0028;0;0,0028;0;0;0;0;0,00298;0,00595;0;0,00317;0;0,00635;0,0102;0;0;0;0,0034;0,0102;0,0034;0,01701;0;0,0034;0;0;0;0;0,00733;0;0,00397;0;0;0;0;0,00433;0;0;0;0,00866;0;0;0;0,00866;0;0,00952;0,01905;0;0;0;0;0;0;0,00476;0;0,00952;0,00476;0;0,00529;0;0;0,00529;0,01058;0;0;0;0;0;0;0;0;0;0;0;0,00595;0;0;0;0;0;0,00595;0;0;0;0;0,00595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0068;0;0;0,0068;0;0;0;0;0;0;0,0068;0,0068;0;0;0;0,0068;0,0068;0;0;0;0,00794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00794;0;0;0;0;0,00794;0;0;0,01587;0,00794;0;0,00794;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0,00952;0,00952;0;0;0;0;0;0;0,00952;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0,01905;0,01905;0;0,02857;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0
Dlabajová;0,00031;0,00012;0,00057;0;0,00105;0,00176;0;0;0,0005;0;0;0;0,00144;0,00076;0;0,00154;0,00312;0,00079;0;0;0;0;0,00187;0;0,00097;0,00292;0;0,00104;0;0,00212;0,00119;0;0,00122;0;0;0;0,00515;0;0,00129;0;0;0;0,00149;0;0,00154;0,0051;0;0;0;0;0;0;0;0,00198;0;0;0;0;0,00207;0;0;0,03313;0;0;0,00907;0;0,00454;0;0;0;0,00476;0;0;0;0,00501;0;0;0,00265;0;0;0;0;0;0;0;0;0;0,00893;0,00893;0;0;0;0,00952;0;0;0;0;0;0;0;0,0034;0;0;0;0,00733;0;0;0,00366;0;0;0;0;0,00433;0;0;0;0;0;0;0;0;0;0,00433;0;0;0,00476;0;0;0;0;0;0;0;0;0;0,03333;0;0,01587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01786;0;0;0;0;0;0;0;0;0;0;0,04167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02041;0;0;0,0068;0,02041;0;0;0;0,0068;0;0,0068;0,0068;0;0;0;0;0,02041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02381;0;0,00794;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0,01905;0,00952;0;0;0;0;0;0;0;0;0;0;0;0;0,0381;0;0;0;0;0;0;0,01905;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Scheinherr;5E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hrnčíř;5E-05;0,00012;0;0,00168;0;0;0,00273;0;0;0;0;0,00448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00946;0;0;0;0;0;0,00938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00227;0;0;0;0;0;0;0;0;0;0;0;0;0,01944;0;0;0;0;0;0;0,02059;0;0;0;0;0;0;0,00333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00417;0,00833;0;0;0;0;0;0,03182;0,03182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04375;0,04375;0,04375;0,04375;0,04375;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hlaváček;0,00011;0,00012;0;0;0,00074;0,00037;0;0,00049;0;0;0,00119;0;0;0;0;0,00081;0;0,00083;0;0;0;0;0;0;0,00204;0,00102;0;0,00109;0;0,00111;0,00125;0;0,00128;0;0;0;0;0,00135;0,00135;0;0;0;0;0;0,00161;0,00179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00652;0;0;0,00476;0;0;0,00476;0,01;0;0;0;0;0;0,00263;0;0,00278;0;0;0;0;0;0;0;0;0;0;0,00312;0;0;0;0;0,00333;0;0,00357;0;0;0;0;0;0,00357;0;0;0;0,00385;0;0;0;0;0;0;0;0,00455;0;0;0;0;0;0;0;0,00455;0;0;0,00455;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0;0;0;0;0;0;0,00556;0;0,00556;0;0;0;0;0;0;0,00625;0;0;0;0;0;0;0;0;0;0;0;0;0,00625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00714;0;0;0;0;0;0;0;0;0;0;0;0;0,00833;0;0;0;0;0;0,00833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,03;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0
Makron;0,00012;0;0,00063;0;0;0,00078;0,00144;0,00052;0,00111;0,00242;0;0,00157;0,00239;0,00251;0;0,00085;0,00173;0,00088;0;0,00097;0,00202;0;0,00826;0;0,00107;0,00107;0,00224;0;0;0,00117;0;0;0,00135;0;0;0;0;0,00142;0;0;0,0015;0;0;0,00164;0;0;0;0;0;0;0,00211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00501;0;0;0;0;0;0;0;0;0;0,00585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00376;0;0,00376;0;0,00752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00526;0,00526;0;0;0;0;0;0;0;0;0,00526;0;0;0;0;0;0;0;0;0;0;0;0,00585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vystrčil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01316;0,01316;0
Kellner;6E-05;0,00013;0;0;0;0;0;0;0;0;0,00063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zdechovský;0,00012;0;0,00032;0;0;0;0;0;0;0;0,00063;0;0,0008;0;0,00085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00142;0;0;0;0;0;0;0;0,00564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00686;0;0;0,02005;0;0;0,00501;0;0;0,00263;0;0;0;0;0;0,00292;0;0;0;0;0;0;0;0,0031;0,00329;0;0,00987;0,01645;0;0;0;0,01053;0;0;0;0;0;0;0;0;0;0;0;0,01215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00478;0;0;0;0;0;0;0;0;0;0;0;0,01053;0;0,0117;0;0,00585;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01974;0;0;0;0;0;0;0;0;0;0;0,01316;0;0,00658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01053;0;0;0;0;0;0;0;0;0;0;0
