Slovo,Podobnost
rekonstruovaný,0.1936061978340149
dopravní,0.19212724268436432
rekonstrukci,0.16356539726257324
vlaky,0.13186177611351013
rok,0.09080345183610916
železnici,0.07048895955085754
práce,0.04389912635087967
centra,0.034793488681316376
investic,0.02560334838926792
úseků,0.014816400595009327
letos,0.010851637460291386
plavební,0.006615800317376852
tratí,0.006271983962506056
koridorů,0.004351495765149593
